Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
FCNN,HouseTwenty,LinearRegression,0.4596,0.1717,0.0496,0.0054,0.0416,0.0049
FCNN,CatsDogs,LinearRegression,0.4621,0.1826,0.0501,0.0054,0.0417,0.0054
FCNN,Car,LinearRegression,0.4906,0.1777,0.1133,0.0139,0.0962,0.0118
FCNN,BeetleFly,LinearRegression,0.5802,0.1526,0.0618,0.0088,0.0513,0.0083
FCNN,CBF,LinearRegression,0.2932,0.2359,0.1395,0.0181,0.1177,0.0151
FCNN,Adiac,LinearRegression,0.3218,0.2827,0.1253,0.02,0.0967,0.0166
FCNN,Beef,LinearRegression,0.5799,0.1634,0.0769,0.013,0.0611,0.0116
FCNN,CounterMovementJump,LinearRegression,0.5376,0.1482,0.1148,0.0133,0.0958,0.0112
FCNN,classification_ozone,LinearRegression,0.5233,0.2111,0.0304,0.0044,0.0238,0.0035
FCNN,RightWhaleCalls,LinearRegression,0.0583,0.3869,0.0074,0.0015,0.0055,0.0011
FCNN,KeplerLightCurves,LinearRegression,0.5733,0.1368,0.0392,0.0054,0.0328,0.0047
FCNN,FaultDetectionB,LinearRegression,0.6278,0.1227,0.1105,0.017,0.0893,0.0147
FCNN,EigenWorms,LinearRegression,0.5899,0.1265,0.127,0.0121,0.1042,0.0132
FCNN,AbnormalHeartbeat,LinearRegression,0.3014,0.1616,0.0592,0.0091,0.0491,0.0078
FCNN,FiftyWords,LinearRegression,0.5414,0.1623,0.1236,0.0166,0.1012,0.0157
FCNN,ArrowHead,LinearRegression,0.4017,0.2132,0.1105,0.0115,0.0938,0.0101
FCNN,ChlorineConcentration,LinearRegression,0.6421,0.1101,0.0312,0.0034,0.0262,0.0026
FCNN,DucksAndGeese,LinearRegression,0.7003,0.1243,0.1073,0.0188,0.088,0.0146
FCNN,BinaryHeartbeat,LinearRegression,0.3144,0.1484,0.0589,0.0081,0.0496,0.0078
FCNN,BirdChicken,LinearRegression,0.6255,0.0986,0.0575,0.0079,0.0465,0.0071
FCNN,CinCECGTorso,LinearRegression,0.3916,0.1956,0.1556,0.014,0.131,0.0125
