Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
GRU,HouseTwenty,LinearRegression,0.2785,0.1284,0.0253,0.0029,0.0197,0.0024
GRU,CatsDogs,LinearRegression,-0.0876,0.1347,0.0289,0.0024,0.025,0.002
GRU,Car,LinearRegression,0.3807,0.368,0.0286,0.0047,0.0222,0.0041
GRU,BeetleFly,LinearRegression,0.299,0.1389,0.0536,0.0083,0.044,0.0061
GRU,CBF,LinearRegression,0.6113,0.0909,0.1181,0.0131,0.0989,0.0124
GRU,Adiac,LinearRegression,0.5322,0.1722,0.0247,0.0035,0.0204,0.0029
GRU,Beef,LinearRegression,0.5431,0.1211,0.0186,0.0021,0.0152,0.0015
GRU,CounterMovementJump,LinearRegression,0.1328,0.6769,0.0612,0.0199,0.0368,0.0085
GRU,classification_ozone,LinearRegression,0.1966,0.1792,0.0165,0.0021,0.0132,0.0018
GRU,RightWhaleCalls,LinearRegression,0.049,0.5972,0.0132,0.003,0.0096,0.0022
GRU,KeplerLightCurves,LinearRegression,-0.9369,1.3536,0.0092,0.0062,0.005,0.0013
GRU,FaultDetectionB,LinearRegression,0.4593,0.1816,0.0558,0.0097,0.043,0.0073
GRU,EigenWorms,LinearRegression,0.6397,0.1498,0.093,0.0151,0.0762,0.0102
GRU,AbnormalHeartbeat,LinearRegression,-0.4129,0.7487,0.0041,0.002,0.0025,0.0005
GRU,FiftyWords,LinearRegression,0.6561,0.1831,0.0614,0.0146,0.0471,0.0086
GRU,ArrowHead,LinearRegression,0.5071,0.1989,0.0225,0.0036,0.0183,0.0025
GRU,ChlorineConcentration,LinearRegression,0.2354,0.1524,0.0415,0.0068,0.0319,0.0046
GRU,DucksAndGeese,LinearRegression,-0.0399,0.1371,0.0261,0.0028,0.0223,0.0024
GRU,BinaryHeartbeat,LinearRegression,-0.2166,0.3019,0.0039,0.0022,0.0024,0.0007
GRU,BirdChicken,LinearRegression,0.0472,0.2943,0.0274,0.0044,0.0216,0.0043
GRU,CinCECGTorso,LinearRegression,0.3705,0.1614,0.047,0.0062,0.04,0.0052
