Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
LSTM,HouseTwenty,LinearRegression,0.3969,0.2064,0.0323,0.0054,0.0268,0.0047
LSTM,CatsDogs,LinearRegression,0.0246,0.4741,0.0111,0.0024,0.0085,0.0015
LSTM,Car,LinearRegression,0.1445,0.3359,0.0374,0.0055,0.0292,0.004
LSTM,BeetleFly,LinearRegression,0.1514,0.2728,0.0312,0.0066,0.0259,0.0046
LSTM,CBF,LinearRegression,0.0805,0.426,0.0538,0.0172,0.0385,0.01
LSTM,Adiac,LinearRegression,0.3425,0.1477,0.0217,0.0029,0.0171,0.0024
LSTM,Beef,LinearRegression,0.5473,0.202,0.0245,0.0038,0.02,0.003
LSTM,CounterMovementJump,LinearRegression,0.2998,0.1061,0.0035,0.001,0.0026,0.0005
LSTM,classification_ozone,LinearRegression,-0.1824,0.3372,0.0095,0.0014,0.0077,0.0014
LSTM,RightWhaleCalls,LinearRegression,0.7544,0.135,0.0071,0.0015,0.0056,0.0012
LSTM,KeplerLightCurves,LinearRegression,0.2341,0.3373,0.0152,0.0032,0.012,0.0021
LSTM,FaultDetectionB,LinearRegression,0.6688,0.123,0.0492,0.0087,0.0366,0.0069
LSTM,EigenWorms,LinearRegression,0.6314,0.0918,0.1036,0.0118,0.0863,0.0093
LSTM,AbnormalHeartbeat,LinearRegression,-63.6599,274.648,0.0045,0.0017,0.0029,0.0009
LSTM,FiftyWords,LinearRegression,0.4162,0.1288,0.0927,0.0091,0.0764,0.009
LSTM,ArrowHead,LinearRegression,0.2561,0.2654,0.0696,0.0108,0.0561,0.0088
LSTM,ChlorineConcentration,LinearRegression,-0.1847,0.2548,0.0019,0.0004,0.0015,0.0003
LSTM,DucksAndGeese,LinearRegression,-0.1237,0.2216,0.0076,0.0014,0.0063,0.0009
LSTM,BinaryHeartbeat,LinearRegression,-44.5706,139.1495,0.0033,0.0016,0.0017,0.0006
LSTM,BirdChicken,LinearRegression,0.2661,0.1665,0.0642,0.0078,0.0513,0.0068
LSTM,CinCECGTorso,LinearRegression,0.5366,0.1169,0.0758,0.0089,0.0606,0.0075
