Model,Dataset,Config_ID,Model_Size_Parameters,Performance_Val_Accuracy_Avg,Num_Seeds_Averaged,Is_Pareto_Optimal
CNN,AbnormalHeartbeat,36,450227,0.6580,5,No
CNN,AbnormalHeartbeat,9,191842,0.6888,5,No
CNN,AbnormalHeartbeat,31,953707,0.6215,5,No
CNN,AbnormalHeartbeat,7,7790,0.6263,5,No
CNN,AbnormalHeartbeat,38,1029527,0.5459,5,No
CNN,AbnormalHeartbeat,54,450137,0.6932,5,No
CNN,AbnormalHeartbeat,98,197762,0.7000,5,No
CNN,AbnormalHeartbeat,53,1048416,0.5283,5,No
CNN,AbnormalHeartbeat,91,714485,0.5234,5,No
CNN,AbnormalHeartbeat,65,241282,0.6746,5,No
CNN,AbnormalHeartbeat,62,141506,0.7180,5,No
CNN,AbnormalHeartbeat,96,306338,0.5868,5,No
CNN,AbnormalHeartbeat,1,313916,0.6512,5,No
CNN,AbnormalHeartbeat,39,439486,0.6917,5,No
CNN,AbnormalHeartbeat,6,883052,0.6488,5,No
CNN,AbnormalHeartbeat,30,168522,0.7195,5,No
CNN,AbnormalHeartbeat,8,331774,0.5561,5,No
CNN,AbnormalHeartbeat,37,210890,0.7220,5,No
CNN,AbnormalHeartbeat,97,603007,0.5380,5,No
CNN,AbnormalHeartbeat,63,38936,0.7195,5,No
CNN,AbnormalHeartbeat,64,465154,0.6941,5,No
CNN,AbnormalHeartbeat,90,176420,0.7229,5,No
CNN,AbnormalHeartbeat,99,29948,0.6937,5,No
CNN,AbnormalHeartbeat,52,955430,0.6195,5,No
CNN,AbnormalHeartbeat,55,191438,0.6863,5,No
CNN,AbnormalHeartbeat,83,1094452,0.6107,5,No
CNN,AbnormalHeartbeat,77,602682,0.6478,5,No
CNN,AbnormalHeartbeat,48,425522,0.5600,5,No
CNN,AbnormalHeartbeat,70,932234,0.6610,5,No
CNN,AbnormalHeartbeat,84,159512,0.6829,5,No
CNN,AbnormalHeartbeat,46,1166112,0.6937,5,No
CNN,AbnormalHeartbeat,79,1046620,0.5590,5,No
CNN,AbnormalHeartbeat,41,1488752,0.6151,5,No
CNN,AbnormalHeartbeat,15,6697,0.6780,5,No
CNN,AbnormalHeartbeat,12,458760,0.5161,5,No
CNN,AbnormalHeartbeat,24,12130,0.7122,5,No
CNN,AbnormalHeartbeat,23,333758,0.5937,5,No
CNN,AbnormalHeartbeat,40,109822,0.6761,5,No
CNN,AbnormalHeartbeat,47,1084912,0.6249,5,No
CNN,AbnormalHeartbeat,78,221446,0.6049,5,No
