Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
CNN,HouseTwenty,RandomForest,0.4162,0.2184,0.0693,0.0156,0.0524,0.0124
CNN,CatsDogs,RandomForest,0.2715,0.3437,0.0207,0.007,0.0143,0.0032
CNN,Car,RandomForest,0.3973,0.2474,0.0774,0.0123,0.0611,0.0102
CNN,BeetleFly,RandomForest,0.5185,0.1552,0.069,0.0121,0.0546,0.0103
CNN,CBF,RandomForest,0.3033,0.3741,0.0402,0.0154,0.024,0.0066
CNN,Adiac,RandomForest,0.5589,0.1347,0.1084,0.0178,0.0887,0.0134
CNN,Beef,RandomForest,0.6058,0.0957,0.0544,0.0085,0.0445,0.007
CNN,CounterMovementJump,RandomForest,-0.377,1.4826,0.0749,0.0229,0.0492,0.011
CNN,classification_ozone,RandomForest,0.3147,0.167,0.0248,0.0033,0.02,0.0028
CNN,RightWhaleCalls,RandomForest,0.2255,0.1989,0.0068,0.0012,0.0053,0.0009
CNN,KeplerLightCurves,RandomForest,0.5045,0.1447,0.0893,0.0125,0.0732,0.0108
CNN,FaultDetectionB,RandomForest,0.1828,0.6286,0.0542,0.0135,0.0344,0.0079
CNN,EigenWorms,RandomForest,0.2977,0.2347,0.1142,0.02,0.0819,0.0156
CNN,AbnormalHeartbeat,RandomForest,0.5355,0.138,0.0418,0.0089,0.034,0.0063
CNN,FiftyWords,RandomForest,0.412,0.4551,0.0749,0.0179,0.0517,0.0116
CNN,ArrowHead,RandomForest,0.3985,0.339,0.056,0.0105,0.0421,0.0061
CNN,ChlorineConcentration,RandomForest,-0.5489,1.3636,0.018,0.0066,0.0116,0.0023
CNN,DucksAndGeese,RandomForest,0.746,0.0813,0.0819,0.0127,0.0667,0.011
CNN,BinaryHeartbeat,RandomForest,0.5624,0.1291,0.0411,0.0089,0.0331,0.0064
CNN,BirdChicken,RandomForest,0.6038,0.0839,0.0521,0.0059,0.0439,0.0058
CNN,CinCECGTorso,RandomForest,0.1744,0.545,0.1159,0.0299,0.077,0.0198
