Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
FCNN,HouseTwenty,RandomForest,0.7062,0.092,0.0367,0.0059,0.0288,0.0049
FCNN,CatsDogs,RandomForest,0.6653,0.1126,0.0398,0.0074,0.0301,0.0061
FCNN,Car,RandomForest,0.6584,0.113,0.0932,0.0131,0.0787,0.0119
FCNN,BeetleFly,RandomForest,0.7364,0.1097,0.0486,0.0088,0.0375,0.0056
FCNN,CBF,RandomForest,0.5947,0.1942,0.1045,0.0208,0.0744,0.0158
FCNN,Adiac,RandomForest,0.5839,0.1537,0.0986,0.0149,0.0781,0.0121
FCNN,Beef,RandomForest,0.7085,0.1085,0.064,0.0095,0.0505,0.008
FCNN,CounterMovementJump,RandomForest,0.7019,0.1133,0.0923,0.0167,0.0735,0.0138
FCNN,classification_ozone,RandomForest,0.3393,0.3503,0.0356,0.0062,0.0277,0.0052
FCNN,RightWhaleCalls,RandomForest,0.0756,0.2004,0.0071,0.0011,0.0055,0.0011
FCNN,KeplerLightCurves,RandomForest,0.6707,0.1199,0.0343,0.005,0.0271,0.0043
FCNN,FaultDetectionB,RandomForest,0.7606,0.0728,0.089,0.0118,0.0705,0.0108
FCNN,EigenWorms,RandomForest,0.6991,0.0921,0.1091,0.0165,0.0835,0.0165
FCNN,AbnormalHeartbeat,RandomForest,0.6246,0.1743,0.0426,0.01,0.0303,0.008
FCNN,FiftyWords,RandomForest,0.7357,0.1185,0.0927,0.015,0.0746,0.0116
FCNN,ArrowHead,RandomForest,0.6363,0.1687,0.0857,0.0154,0.0676,0.0101
FCNN,ChlorineConcentration,RandomForest,0.8123,0.0792,0.0223,0.0036,0.0173,0.003
FCNN,DucksAndGeese,RandomForest,0.724,0.1452,0.102,0.0207,0.0749,0.0161
FCNN,BinaryHeartbeat,RandomForest,0.6166,0.169,0.0434,0.0109,0.0316,0.0088
FCNN,BirdChicken,RandomForest,0.7231,0.0918,0.0489,0.007,0.0395,0.0062
FCNN,CinCECGTorso,RandomForest,0.555,0.1495,0.1339,0.0208,0.1044,0.0178
