Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
GRU,HouseTwenty,RandomForest,0.5432,0.1653,0.0198,0.0034,0.0152,0.0026
GRU,CatsDogs,RandomForest,0.1423,0.2081,0.0255,0.0031,0.0205,0.0025
GRU,Car,RandomForest,0.6536,0.156,0.0214,0.0038,0.0166,0.003
GRU,BeetleFly,RandomForest,0.549,0.1159,0.0429,0.0081,0.03,0.006
GRU,CBF,RandomForest,0.8749,0.0523,0.0658,0.0113,0.051,0.0095
GRU,Adiac,RandomForest,0.6674,0.1028,0.0209,0.0025,0.0175,0.002
GRU,Beef,RandomForest,0.6364,0.1506,0.0164,0.0027,0.0127,0.002
GRU,CounterMovementJump,RandomForest,0.3964,0.377,0.054,0.0217,0.0234,0.0108
GRU,classification_ozone,RandomForest,0.3548,0.2467,0.0145,0.0018,0.0117,0.0013
GRU,RightWhaleCalls,RandomForest,0.0613,0.5952,0.0129,0.003,0.0087,0.0021
GRU,KeplerLightCurves,RandomForest,-0.8209,1.1094,0.0091,0.006,0.0038,0.0014
GRU,FaultDetectionB,RandomForest,0.6906,0.1776,0.0407,0.0071,0.0275,0.0039
GRU,EigenWorms,RandomForest,0.7822,0.0743,0.0729,0.0126,0.0577,0.0096
GRU,AbnormalHeartbeat,RandomForest,-0.1995,0.3171,0.004,0.0022,0.0022,0.0005
GRU,FiftyWords,RandomForest,0.7301,0.1223,0.0556,0.0155,0.0418,0.0089
GRU,ArrowHead,RandomForest,0.6632,0.0973,0.0186,0.0021,0.015,0.0017
GRU,ChlorineConcentration,RandomForest,0.478,0.2208,0.0336,0.0054,0.0208,0.004
GRU,DucksAndGeese,RandomForest,0.1059,0.2259,0.024,0.0033,0.0199,0.0026
GRU,BinaryHeartbeat,RandomForest,-0.8224,1.1869,0.0043,0.0019,0.0025,0.0005
GRU,BirdChicken,RandomForest,0.2308,0.3424,0.0242,0.0043,0.0188,0.0036
GRU,CinCECGTorso,RandomForest,0.4773,0.1661,0.0426,0.0058,0.0342,0.0048
