Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
LSTM,HouseTwenty,RandomForest,0.6935,0.0978,0.0215,0.0047,0.015,0.0031
LSTM,CatsDogs,RandomForest,0.5656,0.1808,0.0082,0.0021,0.0055,0.0012
LSTM,Car,RandomForest,0.4721,0.2009,0.0335,0.0078,0.0225,0.0039
LSTM,BeetleFly,RandomForest,0.3971,0.1711,0.0294,0.01,0.0183,0.0053
LSTM,CBF,RandomForest,0.4802,0.4071,0.0372,0.0156,0.0178,0.0075
LSTM,Adiac,RandomForest,0.6655,0.1126,0.0161,0.0034,0.0113,0.0024
LSTM,Beef,RandomForest,0.6661,0.112,0.0211,0.0025,0.0164,0.002
LSTM,CounterMovementJump,RandomForest,0.6263,0.2408,0.0026,0.0007,0.0017,0.0004
LSTM,classification_ozone,RandomForest,0.2504,0.2056,0.0076,0.0011,0.0057,0.001
LSTM,RightWhaleCalls,RandomForest,0.8895,0.053,0.0044,0.0012,0.003,0.0007
LSTM,KeplerLightCurves,RandomForest,0.5699,0.2324,0.0122,0.0038,0.0072,0.0022
LSTM,FaultDetectionB,RandomForest,0.8324,0.0727,0.0369,0.0078,0.0261,0.0055
LSTM,EigenWorms,RandomForest,0.8398,0.0538,0.0676,0.0146,0.0471,0.0106
LSTM,AbnormalHeartbeat,RandomForest,-10.9889,27.3937,0.0044,0.0016,0.002,0.0008
LSTM,FiftyWords,RandomForest,0.7538,0.0834,0.0596,0.0116,0.0419,0.0083
LSTM,ArrowHead,RandomForest,0.568,0.1537,0.0537,0.0095,0.0352,0.0069
LSTM,ChlorineConcentration,RandomForest,0.1026,0.224,0.0017,0.0005,0.0011,0.0003
LSTM,DucksAndGeese,RandomForest,0.2491,0.4406,0.0062,0.0017,0.0043,0.0009
LSTM,BinaryHeartbeat,RandomForest,-11.021,42.9427,0.0028,0.0009,0.0013,0.0003
LSTM,BirdChicken,RandomForest,0.6815,0.12,0.0388,0.0104,0.0267,0.0064
LSTM,CinCECGTorso,RandomForest,0.6574,0.1463,0.0679,0.0125,0.0481,0.0089
