Model,Dataset,Regressor,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
Transformer,HouseTwenty,RandomForest,0.5745,0.1071,0.013,0.0016,0.0104,0.0011
Transformer,CatsDogs,RandomForest,0.7505,0.0837,0.02,0.0033,0.0162,0.0028
Transformer,Car,RandomForest,0.4046,0.1647,0.0486,0.0066,0.0393,0.0053
Transformer,BeetleFly,RandomForest,0.2066,0.5146,0.0319,0.0058,0.0255,0.0042
Transformer,CBF,RandomForest,0.5656,0.147,0.0348,0.0079,0.024,0.0048
Transformer,Adiac,RandomForest,0.6568,0.1526,0.0264,0.0046,0.0201,0.0032
Transformer,Beef,RandomForest,0.5759,0.2235,0.037,0.0075,0.0289,0.0064
Transformer,CounterMovementJump,RandomForest,0.7687,0.0867,0.0431,0.0065,0.0337,0.0044
Transformer,classification_ozone,RandomForest,0.1251,0.2735,0.01,0.001,0.0078,0.0009
Transformer,RightWhaleCalls,RandomForest,0.4675,0.2519,0.0111,0.0024,0.0089,0.0019
Transformer,KeplerLightCurves,RandomForest,0.638,0.1165,0.0233,0.0035,0.0178,0.0034
Transformer,FaultDetectionB,RandomForest,0.5209,0.2024,0.0471,0.0138,0.0334,0.0088
Transformer,EigenWorms,RandomForest,0.6469,0.1055,0.0951,0.0122,0.0754,0.0104
Transformer,AbnormalHeartbeat,RandomForest,-0.2087,0.3937,0.0059,0.001,0.0046,0.0006
Transformer,FiftyWords,RandomForest,0.768,0.0813,0.0676,0.0065,0.0573,0.0068
Transformer,ArrowHead,RandomForest,0.6043,0.1185,0.035,0.0057,0.0269,0.0048
Transformer,ChlorineConcentration,RandomForest,0.2636,0.2005,0.0095,0.0023,0.0067,0.0011
Transformer,DucksAndGeese,RandomForest,0.1987,0.5041,0.0437,0.0092,0.029,0.0063
Transformer,BinaryHeartbeat,RandomForest,0.0886,0.3998,0.0085,0.0012,0.0063,0.0009
Transformer,BirdChicken,RandomForest,0.638,0.1197,0.0495,0.0071,0.0388,0.0044
Transformer,CinCECGTorso,RandomForest,0.7035,0.0999,0.0871,0.0128,0.0706,0.0114
