dataset,model,val_acc,activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,ff_dim,num_heads,pooling,kernel_size,num_filters,pooling_size,bidirectional,output_activation
BeetleFly,FCNN,0.9,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
BeetleFly,FCNN,0.675,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
BeetleFly,FCNN,0.8,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
BeetleFly,FCNN,0.825,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
BeetleFly,FCNN,0.675,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
BeetleFly,FCNN,0.525,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
BeetleFly,FCNN,0.55,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
BeetleFly,FCNN,0.525,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
BeetleFly,FCNN,0.475,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
BeetleFly,FCNN,0.625,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
BeetleFly,FCNN,0.8,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
BeetleFly,FCNN,0.65,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
BeetleFly,FCNN,0.675,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
BeetleFly,FCNN,0.55,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
BeetleFly,FCNN,0.575,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
BeetleFly,FCNN,0.5,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
BeetleFly,FCNN,0.5,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
BeetleFly,FCNN,0.55,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
BeetleFly,FCNN,0.475,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
BeetleFly,FCNN,0.4,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
BeetleFly,FCNN,0.7,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
BeetleFly,FCNN,0.65,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
BeetleFly,FCNN,0.625,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
BeetleFly,FCNN,0.65,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
BeetleFly,FCNN,0.8,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
BeetleFly,FCNN,0.575,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
BeetleFly,FCNN,0.475,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
BeetleFly,FCNN,0.475,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
BeetleFly,FCNN,0.55,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
BeetleFly,FCNN,0.5,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
BeetleFly,FCNN,0.575,relu,0.3473123598305,63.0,2.85415706e-05,1,0.001640519068,,,,,,,,
BeetleFly,FCNN,0.725,relu,0.3473123598305,63.0,2.85415706e-05,1,0.001640519068,,,,,,,,
BeetleFly,FCNN,0.7,relu,0.3473123598305,63.0,2.85415706e-05,1,0.001640519068,,,,,,,,
BeetleFly,FCNN,0.65,relu,0.3473123598305,63.0,2.85415706e-05,1,0.001640519068,,,,,,,,
BeetleFly,FCNN,0.75,relu,0.3473123598305,63.0,2.85415706e-05,1,0.001640519068,,,,,,,,
BeetleFly,FCNN,0.875,relu,0.5511423928914,92.0,3.56194596e-05,3,0.0030315754747,,,,,,,,
BeetleFly,FCNN,0.65,relu,0.5511423928914,92.0,3.56194596e-05,3,0.0030315754747,,,,,,,,
BeetleFly,FCNN,0.65,relu,0.5511423928914,92.0,3.56194596e-05,3,0.0030315754747,,,,,,,,
BeetleFly,FCNN,0.575,relu,0.5511423928914,92.0,3.56194596e-05,3,0.0030315754747,,,,,,,,
BeetleFly,FCNN,0.6,relu,0.5511423928914,92.0,3.56194596e-05,3,0.0030315754747,,,,,,,,
BeetleFly,FCNN,0.85,gelu,0.1321503402253,105.0,9.18214799e-05,4,0.0006132819977,,,,,,,,
BeetleFly,FCNN,0.675,gelu,0.1321503402253,105.0,9.18214799e-05,4,0.0006132819977,,,,,,,,
BeetleFly,FCNN,0.825,gelu,0.1321503402253,105.0,9.18214799e-05,4,0.0006132819977,,,,,,,,
BeetleFly,FCNN,0.825,gelu,0.1321503402253,105.0,9.18214799e-05,4,0.0006132819977,,,,,,,,
BeetleFly,FCNN,0.675,gelu,0.1321503402253,105.0,9.18214799e-05,4,0.0006132819977,,,,,,,,
BeetleFly,FCNN,0.475,tanh,0.5158026504679,80.0,1.54230528e-05,4,0.007542302998,,,,,,,,
BeetleFly,FCNN,0.575,tanh,0.5158026504679,80.0,1.54230528e-05,4,0.007542302998,,,,,,,,
BeetleFly,FCNN,0.55,tanh,0.5158026504679,80.0,1.54230528e-05,4,0.007542302998,,,,,,,,
BeetleFly,FCNN,0.475,tanh,0.5158026504679,80.0,1.54230528e-05,4,0.007542302998,,,,,,,,
BeetleFly,FCNN,0.5,tanh,0.5158026504679,80.0,1.54230528e-05,4,0.007542302998,,,,,,,,
