dataset,model,val_acc,activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,ff_dim,num_heads,pooling,kernel_size,num_filters,pooling_size,bidirectional,output_activation
CatsDogs,FCNN,0.7484848499298096,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
CatsDogs,FCNN,0.7515151381492615,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
CatsDogs,FCNN,0.721212112903595,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
CatsDogs,FCNN,0.7606060743331909,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
CatsDogs,FCNN,0.7696969747543335,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
CatsDogs,FCNN,0.7393939375877381,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
CatsDogs,FCNN,0.7545454621315002,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
CatsDogs,FCNN,0.7181818127632141,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
CatsDogs,FCNN,0.7606060624122619,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
CatsDogs,FCNN,0.7515151381492615,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
CatsDogs,FCNN,0.7878787994384766,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
CatsDogs,FCNN,0.7484848499298096,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
CatsDogs,FCNN,0.7212121248245239,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
CatsDogs,FCNN,0.7575757503509521,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
CatsDogs,FCNN,0.7303030252456665,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
CatsDogs,FCNN,0.4939393937587738,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
CatsDogs,FCNN,0.7696969628334045,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
CatsDogs,FCNN,0.5939393877983093,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
CatsDogs,FCNN,0.6363636255264282,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
