dataset,model,val_acc,activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,ff_dim,num_heads,pooling,kernel_size,num_filters,pooling_size,bidirectional,output_activation
FaultDetectionB,FCNN,0.9272727251052857,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FaultDetectionB,FCNN,0.9272727251052857,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FaultDetectionB,FCNN,0.9272727251052857,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FaultDetectionB,FCNN,0.9151515126228332,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FaultDetectionB,FCNN,0.9030303001403809,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FaultDetectionB,FCNN,0.8787878751754761,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FaultDetectionB,FCNN,0.8909090876579284,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FaultDetectionB,FCNN,0.939393937587738,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FaultDetectionB,FCNN,0.8121212184429168,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FaultDetectionB,FCNN,0.7939393997192383,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FaultDetectionB,FCNN,0.8545454502105713,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FaultDetectionB,FCNN,0.8303030252456665,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FaultDetectionB,FCNN,0.9151515126228332,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FaultDetectionB,FCNN,0.9030303001403809,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FaultDetectionB,FCNN,0.8545454502105713,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FaultDetectionB,FCNN,0.49696969985961914,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
FaultDetectionB,FCNN,0.6181818187236786,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
