Dataset,Model,min,max,median,Range_and_Median
AbnormalHeartbeat,CNN,6697,1747955,328253,"6,697 – 1,747,955 (median: 328,253)"
AbnormalHeartbeat,FCNN,46382,622358,295125,"46,382 – 622,358 (median: 295,125)"
AbnormalHeartbeat,GRU,4450,626775,94351,"4,450 – 626,775 (median: 94,351)"
AbnormalHeartbeat,LSTM,37598,3379148,516459,"37,598 – 3,379,148 (median: 516,459)"
AbnormalHeartbeat,Transformer,91636,3335738,892453,"91,636 – 3,335,738 (median: 892,453)"
Adiac,CNN,5393,1409248,250618,"5,393 – 1,409,248 (median: 250,618)"
Adiac,FCNN,2197,74065,17548,"2,197 – 74,065 (median: 17,548)"
Adiac,GRU,5605,630975,97638,"5,605 – 630,975 (median: 97,638)"
Adiac,LSTM,43093,3395773,528300,"43,093 – 3,395,773 (median: 528,300)"
Adiac,Transformer,70801,3565210,915788,"70,801 – 3,565,210 (median: 915,788)"
ArrowHead,CNN,1771,700857,68410,"1,771 – 700,857 (median: 68,410)"
ArrowHead,FCNN,2573,79115,20043,"2,573 – 79,115 (median: 20,043)"
ArrowHead,GRU,4483,626895,94454,"4,483 – 626,895 (median: 94,454)"
ArrowHead,LSTM,37755,3379623,516858,"37,755 – 3,379,623 (median: 516,858)"
ArrowHead,Transformer,148001,3335985,800177,"148,001 – 3,335,985 (median: 800,177)"
Beef,CNN,3349,897290,132748,"3,349 – 897,290 (median: 132,748)"
Beef,FCNN,4785,106521,34571,"4,785 – 106,521 (median: 34,571)"
Beef,GRU,4549,627135,94660,"4,549 – 627,135 (median: 94,660)"
Beef,LSTM,6789,854901,131624,"6,789 – 854,901 (median: 131,624)"
Beef,Transformer,68657,3488310,1127337,"68,657 – 3,488,310 (median: 1,127,337)"
BeetleFly,CNN,2050,734189,79292,"2,050 – 734,189 (median: 79,292)"
BeetleFly,FCNN,5172,111354,37226,"5,172 – 111,354 (median: 37,226)"
BeetleFly,GRU,4450,626775,94351,"4,450 – 626,775 (median: 94,351)"
BeetleFly,LSTM,37598,3379148,516459,"37,598 – 3,379,148 (median: 516,459)"
BeetleFly,Transformer,122965,3260004,761303,"122,965 – 3,260,004 (median: 761,303)"
BinaryHeartbeat,CNN,6697,1747955,328253,"6,697 – 1,747,955 (median: 328,253)"
BinaryHeartbeat,FCNN,46382,622358,295125,"46,382 – 622,358 (median: 295,125)"
BinaryHeartbeat,GRU,4450,626775,94351,"4,450 – 626,775 (median: 94,351)"
BinaryHeartbeat,LSTM,37598,3379148,516459,"37,598 – 3,379,148 (median: 516,459)"
BinaryHeartbeat,Transformer,127716,3089487,772481,"127,716 – 3,089,487 (median: 772,481)"
BirdChicken,CNN,2050,734189,79292,"2,050 – 734,189 (median: 79,292)"
BirdChicken,FCNN,5172,111354,37226,"5,172 – 111,354 (median: 37,226)"
BirdChicken,GRU,4450,626775,94351,"4,450 – 626,775 (median: 94,351)"
BirdChicken,LSTM,37598,3379148,516459,"37,598 – 3,379,148 (median: 516,459)"
BirdChicken,Transformer,128110,3744492,976534,"128,110 – 3,744,492 (median: 976,534)"
CBF,CNN,1107,655470,45552,"1,107 – 655,470 (median: 45,552)"
CBF,FCNN,1343,63863,12297,"1,343 – 63,863 (median: 12,297)"
CBF,GRU,4483,626895,94454,"4,483 – 626,895 (median: 94,454)"
CBF,LSTM,37755,3379623,516858,"37,755 – 3,379,623 (median: 516,858)"
CBF,Transformer,117147,4133511,1013476,"117,147 – 4,133,511 (median: 1,013,476)"
Car,CNN,3332,892123,131894,"3,332 – 892,123 (median: 131,894)"
Car,FCNN,5844,119664,42052,"5,844 – 119,664 (median: 42,052)"
Car,GRU,4516,627015,94557,"4,516 – 627,015 (median: 94,557)"
Car,LSTM,37912,3380098,517257,"37,912 – 3,380,098 (median: 517,257)"
Car,Transformer,102834,4182874,857403,"102,834 – 4,182,874 (median: 857,403)"
CatsDogs,CNN,6931,1819787,348401,"6,931 – 1,819,787 (median: 348,401)"
CatsDogs,FCNN,49302,658566,313083,"49,302 – 658,566 (median: 313,083)"
CatsDogs,GRU,4450,626775,94351,"4,450 – 626,775 (median: 94,351)"
CatsDogs,LSTM,37598,3379148,516459,"37,598 – 3,379,148 (median: 516,459)"
CatsDogs,Transformer,146622,3145129,860003,"146,622 – 3,145,129 (median: 860,003)"
ChlorineConcentration,CNN,1323,669492,55012,"1,323 – 669,492 (median: 55,012)"
ChlorineConcentration,FCNN,1723,68575,14709,"1,723 – 68,575 (median: 14,709)"
ChlorineConcentration,GRU,4483,626895,94454,"4,483 – 626,895 (median: 94,454)"
ChlorineConcentration,LSTM,37755,3379623,516858,"37,755 – 3,379,623 (median: 516,858)"
ChlorineConcentration,Transformer,112280,4133511,1012621,"112,280 – 4,133,511 (median: 1,012,621)"
CinCECGTorso,CNN,5607,1414627,251452,"5,607 – 1,414,627 (median: 251,452)"
CinCECGTorso,FCNN,16464,251352,111119,"16,464 – 251,352 (median: 111,119)"
CinCECGTorso,GRU,4516,627015,94557,"4,516 – 627,015 (median: 94,557)"
CinCECGTorso,LSTM,37912,3380098,517257,"37,912 – 3,380,098 (median: 517,257)"
CinCECGTorso,Transformer,139255,3399466,1020510,"139,255 – 3,399,466 (median: 1,020,510)"
CounterMovementJump,CNN,17757,5312988,1289433,"17,757 – 5,312,988 (median: 1,289,433)"
CounterMovementJump,FCNN,42563,574991,271633,"42,563 – 574,991 (median: 271,633)"
CounterMovementJump,GRU,4483,626895,94454,"4,483 – 626,895 (median: 94,454)"
CounterMovementJump,LSTM,37755,3379623,516858,"37,755 – 3,379,623 (median: 516,858)"
CounterMovementJump,Transformer,103806,3942514,987219,"103,806 – 3,942,514 (median: 987,219)"
DucksAndGeese,CNN,30365,9856517,2502185,"30,365 – 9,856,517 (median: 2,502,185)"
DucksAndGeese,FCNN,49415,659933,313762,"49,415 – 659,933 (median: 313,762)"
DucksAndGeese,GRU,4549,627135,94660,"4,549 – 627,135 (median: 94,660)"
DucksAndGeese,LSTM,38069,3380573,517656,"38,069 – 3,380,573 (median: 517,656)"
DucksAndGeese,Transformer,139364,3724241,943667,"139,364 – 3,724,241 (median: 943,667)"
EigenWorms,CNN,30860,9862097,2503500,"30,860 – 9,862,097 (median: 2,503,500)"
EigenWorms,FCNN,900085,11521029,5629535,"900,085 – 11,521,029 (median: 5,629,535)"
EigenWorms,GRU,5029,630705,96752,"5,029 – 630,705 (median: 96,752)"
EigenWorms,LSTM,39629,3390053,522950,"39,629 – 3,390,053 (median: 522,950)"
EigenWorms,Transformer,76413,3543623,891368,"76,413 – 3,543,623 (median: 891,368)"
FaultDetectionB,CNN,6074,1552878,282969,"6,074 – 1,552,878 (median: 282,969)"
FaultDetectionB,FCNN,25663,365431,167698,"25,663 – 365,431 (median: 167,698)"
FaultDetectionB,GRU,4483,626895,94454,"4,483 – 626,895 (median: 94,454)"
FaultDetectionB,LSTM,37755,3379623,516858,"37,755 – 3,379,623 (median: 516,858)"
FaultDetectionB,Transformer,136319,4207538,1011040,"136,319 – 4,207,538 (median: 1,011,040)"
FiftyWords,CNN,8201,2268785,471326,"8,201 – 2,268,785 (median: 471,326)"
