dataset,model,val_acc,activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,ff_dim,num_heads,pooling,kernel_size,num_filters,pooling_size,bidirectional,output_activation
DucksAndGeese,FCNN,0.9399999976158142,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
DucksAndGeese,FCNN,0.8400000095367431,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
DucksAndGeese,FCNN,0.9,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
DucksAndGeese,FCNN,0.8799999833106995,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
DucksAndGeese,FCNN,0.899999988079071,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
DucksAndGeese,FCNN,0.7599999904632568,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
DucksAndGeese,FCNN,0.7300000101327896,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
DucksAndGeese,FCNN,0.6100000023841858,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
DucksAndGeese,FCNN,0.6899999976158142,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
DucksAndGeese,FCNN,0.7099999934434891,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
DucksAndGeese,FCNN,0.7399999976158143,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
DucksAndGeese,FCNN,0.7399999886751175,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
DucksAndGeese,FCNN,0.8399999976158142,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
DucksAndGeese,FCNN,0.8699999928474427,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
DucksAndGeese,FCNN,0.4599999964237213,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
DucksAndGeese,FCNN,0.41000000312924384,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
DucksAndGeese,FCNN,0.3299999997019768,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
DucksAndGeese,FCNN,0.2599999994039536,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
DucksAndGeese,FCNN,0.37000000178813935,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
DucksAndGeese,FCNN,0.2700000047683716,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
DucksAndGeese,FCNN,0.7099999964237214,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
DucksAndGeese,FCNN,0.7200000047683716,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
DucksAndGeese,FCNN,0.65,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
DucksAndGeese,FCNN,0.42000000476837157,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
DucksAndGeese,FCNN,0.7,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
DucksAndGeese,FCNN,0.560000017285347,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
DucksAndGeese,FCNN,0.6100000023841858,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
DucksAndGeese,FCNN,0.5599999919533729,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
DucksAndGeese,FCNN,0.4600000023841858,relu,0.5536549140244,104.0,1.07099908e-05,3,0.0004753660264,,,,,,,,
