dataset,model,val_acc,activation,dropout_rate,hidden_units,learning_rate,num_layers,weight_decay,ff_dim,num_heads,pooling,kernel_size,num_filters,pooling_size,bidirectional,output_activation
FiftyWords,FCNN,0.650828731060028,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FiftyWords,FCNN,0.6121546983718872,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FiftyWords,FCNN,0.6386740326881408,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FiftyWords,FCNN,0.650828731060028,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FiftyWords,FCNN,0.6441988945007324,tanh,0.3633583992103,50.0,0.0002010646935,1,6.709385e-05,,,,,,,,
FiftyWords,FCNN,0.2696132579818368,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FiftyWords,FCNN,0.18342541977763177,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FiftyWords,FCNN,0.4651933670043945,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FiftyWords,FCNN,0.28618785068392755,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FiftyWords,FCNN,0.48176795840263364,gelu,0.1729053303171,24.0,1.38845551e-05,3,0.0001357952827,,,,,,,,
FiftyWords,FCNN,0.5723757028579712,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FiftyWords,FCNN,0.5458563566207886,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FiftyWords,FCNN,0.5513812184333802,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FiftyWords,FCNN,0.5524861931800842,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FiftyWords,FCNN,0.5248618721961975,gelu,0.4877392393243,65.0,0.0001168172668,4,0.0002461600762,,,,,,,,
FiftyWords,FCNN,0.4607734799385071,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
FiftyWords,FCNN,0.18011049665510653,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
FiftyWords,FCNN,0.4563535928726196,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
FiftyWords,FCNN,0.10607735039666295,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
FiftyWords,FCNN,0.23646408580243589,gelu,0.5270725066208,83.0,1.6405107e-05,4,0.0005345189815,,,,,,,,
FiftyWords,FCNN,0.41325966715812684,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
FiftyWords,FCNN,0.4254143714904785,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
FiftyWords,FCNN,0.43646408915519713,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
FiftyWords,FCNN,0.4320442020893097,relu,0.3619822498371,14.0,0.0002107947679,3,1.07418377e-05,,,,,,,,
