Model,Dataset,Schedule,Round,Configs_Eliminated,Total_Configs,Elimination_Rate_%
CNN,AbnormalHeartbeat,Moderate,1,0,100,0.00
CNN,AbnormalHeartbeat,Moderate,2,50,100,50.00
CNN,AbnormalHeartbeat,Moderate,3,40,50,80.00
CNN,AbnormalHeartbeat,Moderate,4,9,10,90.00
CNN,AbnormalHeartbeat,Aggressive,1,0,100,0.00
CNN,AbnormalHeartbeat,Aggressive,2,90,100,90.00
CNN,AbnormalHeartbeat,Aggressive,3,9,10,90.00
CNN,AbnormalHeartbeat,Conservative,1,0,100,0.00
CNN,AbnormalHeartbeat,Conservative,2,25,100,25.00
CNN,AbnormalHeartbeat,Conservative,3,25,75,33.33
CNN,AbnormalHeartbeat,Conservative,4,25,50,50.00
CNN,AbnormalHeartbeat,Conservative,5,24,25,96.00
CNN,AbnormalHeartbeat,VeryAggressive,1,0,100,0.00
CNN,AbnormalHeartbeat,VeryAggressive,2,95,100,95.00
CNN,AbnormalHeartbeat,VeryAggressive,3,4,5,80.00
CNN,AbnormalHeartbeat,Standard,1,0,100,0.00
CNN,AbnormalHeartbeat,Standard,2,50,100,50.00
CNN,AbnormalHeartbeat,Standard,3,25,50,50.00
CNN,AbnormalHeartbeat,Standard,4,13,25,52.00
CNN,AbnormalHeartbeat,Standard,5,6,12,50.00
CNN,AbnormalHeartbeat,Standard,6,3,6,50.00
CNN,AbnormalHeartbeat,Standard,7,2,3,66.67
CNN,Adiac,Moderate,1,0,100,0.00
CNN,Adiac,Moderate,2,50,100,50.00
CNN,Adiac,Moderate,3,40,50,80.00
CNN,Adiac,Moderate,4,9,10,90.00
CNN,Adiac,Aggressive,1,0,100,0.00
CNN,Adiac,Aggressive,2,90,100,90.00
CNN,Adiac,Aggressive,3,9,10,90.00
CNN,Adiac,Conservative,1,0,100,0.00
CNN,Adiac,Conservative,2,25,100,25.00
CNN,Adiac,Conservative,3,25,75,33.33
CNN,Adiac,Conservative,4,25,50,50.00
