Model,Dataset,Hybrid_Name,Budget_Strategy,Dropout_Strategy,Constraint_Type,Constraint_Value,Performance_At_Timeout,Performance_At_Convergence,Performance_Gap,Performance_Retention,Relative_Performance_Gap,Budget_Utilization,Early_Stopping,Completed_Rounds
CNN,AbnormalHeartbeat,Moderate_Linear,Moderate,Linear,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Moderate_Linear,Moderate,Linear,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Moderate_Linear,Moderate,Linear,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Moderate_Linear,Moderate,Linear,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.061653,False,4
CNN,AbnormalHeartbeat,Moderate_Linear,Moderate,Linear,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.025689,False,4
CNN,AbnormalHeartbeat,Moderate_Linear,Moderate,Linear,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.008563,False,4
CNN,AbnormalHeartbeat,Moderate_Standard,Moderate,Standard,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Moderate_Standard,Moderate,Standard,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Moderate_Standard,Moderate,Standard,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Moderate_Standard,Moderate,Standard,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.027368,False,4
CNN,AbnormalHeartbeat,Moderate_Standard,Moderate,Standard,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.011403,False,4
CNN,AbnormalHeartbeat,Moderate_Standard,Moderate,Standard,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.003801,False,4
CNN,AbnormalHeartbeat,Moderate_Aggressive,Moderate,Aggressive,max_epochs,1000,0.600000,0.600000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Moderate_Aggressive,Moderate,Aggressive,max_epochs,2000,0.600000,0.600000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Moderate_Aggressive,Moderate,Aggressive,max_epochs,5000,0.600000,0.600000,0.000000,1.000000,0.000000,0.440000,False,4
CNN,AbnormalHeartbeat,Moderate_Aggressive,Moderate,Aggressive,max_time_hours,10,0.600000,0.600000,0.000000,1.000000,0.000000,0.012251,False,4
CNN,AbnormalHeartbeat,Moderate_Aggressive,Moderate,Aggressive,max_time_hours,24,0.600000,0.600000,0.000000,1.000000,0.000000,0.005104,False,4
CNN,AbnormalHeartbeat,Moderate_Aggressive,Moderate,Aggressive,max_time_hours,72,0.600000,0.600000,0.000000,1.000000,0.000000,0.001701,False,4
CNN,AbnormalHeartbeat,Moderate_Gradual,Moderate,Gradual,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Moderate_Gradual,Moderate,Gradual,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Moderate_Gradual,Moderate,Gradual,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Moderate_Gradual,Moderate,Gradual,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.077892,False,4
CNN,AbnormalHeartbeat,Moderate_Gradual,Moderate,Gradual,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.032455,False,4
CNN,AbnormalHeartbeat,Moderate_Gradual,Moderate,Gradual,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.010818,False,4
CNN,AbnormalHeartbeat,Moderate_TwoStage,Moderate,TwoStage,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Moderate_TwoStage,Moderate,TwoStage,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Moderate_TwoStage,Moderate,TwoStage,max_epochs,5000,0.200000,0.200000,0.000000,1.000000,0.000000,1.000000,True,4
CNN,AbnormalHeartbeat,Moderate_TwoStage,Moderate,TwoStage,max_time_hours,10,0.200000,0.200000,0.000000,1.000000,0.000000,0.027368,False,4
CNN,AbnormalHeartbeat,Moderate_TwoStage,Moderate,TwoStage,max_time_hours,24,0.200000,0.200000,0.000000,1.000000,0.000000,0.011403,False,4
CNN,AbnormalHeartbeat,Moderate_TwoStage,Moderate,TwoStage,max_time_hours,72,0.200000,0.200000,0.000000,1.000000,0.000000,0.003801,False,4
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.066267,False,3
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.027611,False,3
CNN,AbnormalHeartbeat,Aggressive_Linear,Aggressive,Linear,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.009204,False,3
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_epochs,1000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_epochs,2000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,2
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_epochs,5000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,True,3
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_time_hours,10,1.000000,1.000000,0.000000,1.000000,0.000000,0.044733,False,3
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_time_hours,24,1.000000,1.000000,0.000000,1.000000,0.000000,0.018639,False,3
CNN,AbnormalHeartbeat,Aggressive_Standard,Aggressive,Standard,max_time_hours,72,1.000000,1.000000,0.000000,1.000000,0.000000,0.006213,False,3
CNN,AbnormalHeartbeat,Aggressive_Aggressive,Aggressive,Aggressive,max_epochs,1000,0.600000,0.600000,0.000000,1.000000,0.000000,1.000000,True,2
