Budget_Strategy,Constraint_Type,Constraint_Value,Performance_At_Timeout,Performance_Retention,Budget_Utilization
Aggressive,max_epochs,1000,0.8221,0.8566,1.0
Aggressive,max_epochs,2000,0.8968,0.9298,1.0
Aggressive,max_epochs,5000,0.9211,0.9846,0.9639
Aggressive,max_time_hours,10,0.9238,0.9935,0.121
Aggressive,max_time_hours,24,0.9257,1.0,0.0529
Aggressive,max_time_hours,72,0.9257,1.0,0.0176
Conservative,max_epochs,1000,0.7547,0.8597,1.0
Conservative,max_epochs,2000,0.8789,0.9392,1.0
Conservative,max_epochs,5000,0.8381,0.9778,0.9549
Conservative,max_time_hours,10,0.6979,0.9973,0.1539
Conservative,max_time_hours,24,0.6998,0.9992,0.0711
Conservative,max_time_hours,72,0.7006,1.0,0.0241
Moderate,max_epochs,1000,0.8221,0.8931,1.0
Moderate,max_epochs,2000,0.7909,0.894,1.0
Moderate,max_epochs,5000,0.7211,0.9543,0.888
Moderate,max_time_hours,10,0.7436,0.9992,0.1035
Moderate,max_time_hours,24,0.7444,1.0,0.0452
Moderate,max_time_hours,72,0.7444,1.0,0.0151
Standard,max_epochs,1000,0.6933,0.8871,1.0
Standard,max_epochs,2000,0.613,0.92,0.9049
Standard,max_epochs,5000,0.5874,0.9842,0.6627
Standard,max_time_hours,10,0.4872,0.9989,0.0897
Standard,max_time_hours,24,0.4876,1.0,0.0406
Standard,max_time_hours,72,0.4876,1.0,0.0137
VeryAggressive,max_epochs,1000,0.8221,0.8566,1.0
VeryAggressive,max_epochs,2000,0.8968,0.9259,1.0
VeryAggressive,max_epochs,5000,0.9482,0.9744,1.0
VeryAggressive,max_time_hours,10,0.9211,0.995,0.1605
VeryAggressive,max_time_hours,24,0.9261,1.0,0.0729
VeryAggressive,max_time_hours,72,0.9261,1.0,0.0243
