Hybrid_Name,Performance_At_Timeout,Performance_Retention,Budget_Utilization,Rank
VeryAggressive_Gradual,0.9952,0.9952,0.5291,1
Aggressive_Gradual,0.9937,0.9937,0.5228,2
Aggressive_Linear,0.9921,0.9921,0.521,3
VeryAggressive_Linear,0.9921,0.9921,0.5273,4
Moderate_Gradual,0.9889,0.9889,0.5245,5
Conservative_Gradual,0.9873,0.9873,0.5417,6
Standard_Gradual,0.9762,0.981,0.5356,7
Moderate_Linear,0.9619,0.9667,0.5197,8
Conservative_Linear,0.9238,0.9893,0.5316,9
VeryAggressive_Standard,0.9032,0.9663,0.5211,10
VeryAggressive_TwoStage,0.9032,0.9663,0.5211,11
Aggressive_TwoStage,0.9032,0.9655,0.5149,12
Aggressive_Standard,0.9032,0.9655,0.5149,13
Moderate_Standard,0.8683,0.9685,0.511,14
Conservative_Standard,0.8556,0.968,0.5173,15
Aggressive_Aggressive,0.754,0.9231,0.4789,16
VeryAggressive_Aggressive,0.6889,0.9325,0.5152,17
Conservative_TwoStage,0.646,0.9873,0.5147,18
Standard_Standard,0.6206,0.9561,0.4547,19
Standard_Linear,0.6159,0.9881,0.515,20
Moderate_TwoStage,0.5524,0.9841,0.511,21
Moderate_Aggressive,0.5143,0.914,0.4114,22
Conservative_Aggressive,0.4587,0.941,0.4708,23
Standard_Aggressive,0.3952,0.9603,0.2914,24
Standard_TwoStage,0.2429,0.9484,0.4078,25
