Hybrid_Name,Performance_At_Timeout,Performance_Retention,Budget_Utilization,Rank
Aggressive_Gradual,0.9984,0.9984,0.5723,1
VeryAggressive_Gradual,0.9968,0.9968,0.5881,2
Conservative_Gradual,0.9952,0.9952,0.6203,3
Moderate_Gradual,0.9921,0.9921,0.5771,4
VeryAggressive_Linear,0.9889,0.9889,0.5835,5
Aggressive_Linear,0.9857,0.9857,0.5672,6
Standard_Gradual,0.9778,0.9841,0.6077,7
Moderate_Linear,0.9762,0.9762,0.5651,8
Conservative_Linear,0.9476,0.9869,0.5966,9
Aggressive_Standard,0.9317,0.9476,0.5491,10
Aggressive_TwoStage,0.9317,0.9476,0.5491,11
VeryAggressive_Standard,0.927,0.946,0.5684,12
VeryAggressive_TwoStage,0.927,0.946,0.5684,13
Moderate_Standard,0.8683,0.9452,0.5353,14
Conservative_Standard,0.8032,0.9226,0.5557,15
VeryAggressive_Aggressive,0.7381,0.9087,0.5475,16
Aggressive_Aggressive,0.7333,0.9095,0.4976,17
Standard_Standard,0.5905,0.9619,0.4709,18
Conservative_TwoStage,0.5683,0.9495,0.5472,19
Standard_Linear,0.5524,0.9758,0.5487,20
Moderate_Aggressive,0.5302,0.9079,0.4215,21
Conservative_Aggressive,0.4619,0.9077,0.4882,22
Moderate_TwoStage,0.4571,0.9769,0.5353,23
Standard_Aggressive,0.4206,0.981,0.296,24
Standard_TwoStage,0.2984,0.9451,0.4177,25
