Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.009073,5
Moderate_Standard,0.2,0.009073,5
Moderate_Aggressive,0.4,0.005366,4
Moderate_Gradual,0.2,0.00839,5
Moderate_TwoStage,0.2,0.00839,4
Aggressive_Linear,0.2,0.00839,4
Aggressive_Standard,0.2,0.00839,4
Aggressive_Aggressive,0.4,0.005171,4
Aggressive_Gradual,0.2,0.00839,4
Aggressive_TwoStage,0.2,0.00839,4
Conservative_Linear,0.2,0.00839,6
Conservative_Standard,0.4,0.005171,6
Conservative_Aggressive,0.4,0.005171,4
Conservative_Gradual,0.2,0.00839,6
Conservative_TwoStage,0.2,0.00839,4
VeryAggressive_Linear,0.2,0.00839,4
VeryAggressive_Standard,0.2,0.00839,4
VeryAggressive_Aggressive,0.4,0.005171,4
VeryAggressive_Gradual,0.2,0.00839,4
VeryAggressive_TwoStage,0.2,0.00839,4
Standard_Linear,0.2,0.009073,6
Standard_Standard,0.8,0.001463,7
Standard_Aggressive,0.2,0.009756,4
Standard_Gradual,0.2,0.009073,8
Standard_TwoStage,0.2,0.009268,4
