Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.021,5
Moderate_Standard,0.2,0.021,5
Moderate_Aggressive,0.4,0.015,4
Moderate_Gradual,0.2,0.026,5
Moderate_TwoStage,0.2,0.021,4
Aggressive_Linear,0.2,0.026,4
Aggressive_Standard,0.2,0.021,4
Aggressive_Aggressive,0.4,0.016,4
Aggressive_Gradual,0.2,0.026,4
Aggressive_TwoStage,0.2,0.021,4
Conservative_Linear,0.2,0.028,6
Conservative_Standard,0.2,0.023,6
Conservative_Aggressive,0.4,0.015,4
Conservative_Gradual,0.2,0.028,6
Conservative_TwoStage,0.2,0.021,4
VeryAggressive_Linear,0.2,0.023,4
VeryAggressive_Standard,0.2,0.023,4
VeryAggressive_Aggressive,0.2,0.018,4
VeryAggressive_Gradual,0.2,0.028,4
VeryAggressive_TwoStage,0.2,0.023,4
Standard_Linear,0.2,0.027,6
Standard_Standard,0.4,0.016,7
Standard_Aggressive,0.8,0.016,4
Standard_Gradual,0.2,0.023,8
Standard_TwoStage,0.4,0.019,4
