Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.000516,5
Moderate_Standard,1.0,0.0,5
Moderate_Aggressive,1.0,0.0,4
Moderate_Gradual,0.4,0.000387,5
Moderate_TwoStage,0.2,0.000516,4
Aggressive_Linear,0.2,0.000344,4
Aggressive_Standard,0.2,0.000172,4
Aggressive_Aggressive,1.0,0.0,4
Aggressive_Gradual,0.6,0.00043,4
Aggressive_TwoStage,0.2,0.000172,4
Conservative_Linear,0.2,0.000172,6
Conservative_Standard,1.0,0.0,6
Conservative_Aggressive,1.0,0.0,4
Conservative_Gradual,0.2,0.000344,6
Conservative_TwoStage,0.4,0.000129,4
VeryAggressive_Linear,0.4,0.000258,4
VeryAggressive_Standard,0.2,0.000172,4
VeryAggressive_Aggressive,1.0,0.0,4
VeryAggressive_Gradual,0.8,0.000215,4
VeryAggressive_TwoStage,0.2,0.000172,4
Standard_Linear,0.6,8.6e-05,6
Standard_Standard,1.0,0.0,7
Standard_Aggressive,1.0,0.0,4
Standard_Gradual,0.0,0.000387,8
Standard_TwoStage,0.6,0.000559,4
