Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.008667,5
Moderate_Standard,0.4,0.010333,5
Moderate_Aggressive,0.6,0.014,4
Moderate_Gradual,0.4,0.008667,5
Moderate_TwoStage,0.4,0.010333,4
Aggressive_Linear,0.4,0.008667,4
Aggressive_Standard,0.4,0.005,4
Aggressive_Aggressive,0.6,0.006,4
Aggressive_Gradual,0.4,0.008667,4
Aggressive_TwoStage,0.4,0.005,4
Conservative_Linear,0.4,0.005,6
Conservative_Standard,0.2,0.008667,6
Conservative_Aggressive,0.6,0.004667,4
Conservative_Gradual,0.4,0.008667,6
Conservative_TwoStage,0.0,0.024667,4
VeryAggressive_Linear,0.4,0.008667,4
VeryAggressive_Standard,0.4,0.008667,4
VeryAggressive_Aggressive,0.2,0.008667,4
VeryAggressive_Gradual,0.4,0.008667,4
VeryAggressive_TwoStage,0.4,0.008667,4
Standard_Linear,0.4,0.014667,6
Standard_Standard,0.8,0.002333,7
Standard_Aggressive,0.4,0.017333,4
Standard_Gradual,0.4,0.008667,8
Standard_TwoStage,0.0,0.038333,4
