Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.007515,5
Moderate_Standard,0.2,0.002909,5
Moderate_Aggressive,0.6,0.004848,4
Moderate_Gradual,0.2,0.007515,5
Moderate_TwoStage,0.2,0.006909,4
Aggressive_Linear,0.2,0.007515,4
Aggressive_Standard,0.2,0.007515,4
Aggressive_Aggressive,0.2,0.004,4
Aggressive_Gradual,0.2,0.007515,4
Aggressive_TwoStage,0.2,0.007515,4
Conservative_Linear,0.2,0.007515,6
Conservative_Standard,0.2,0.005939,6
Conservative_Aggressive,0.2,0.004121,4
Conservative_Gradual,0.2,0.007515,6
Conservative_TwoStage,0.2,0.007515,4
VeryAggressive_Linear,0.2,0.007515,4
VeryAggressive_Standard,0.2,0.007515,4
VeryAggressive_Aggressive,0.2,0.004,4
VeryAggressive_Gradual,0.2,0.007515,4
VeryAggressive_TwoStage,0.2,0.007515,4
Standard_Linear,0.4,0.006788,6
Standard_Standard,0.8,0.001939,7
Standard_Aggressive,0.6,0.005333,4
Standard_Gradual,0.2,0.007515,8
Standard_TwoStage,0.4,0.014061,4
