Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.005196,5
Moderate_Standard,0.6,0.005123,5
Moderate_Aggressive,0.6,0.008112,4
Moderate_Gradual,0.4,0.005196,5
Moderate_TwoStage,0.6,0.008464,4
Aggressive_Linear,0.4,0.005196,4
Aggressive_Standard,0.6,0.00214,4
Aggressive_Aggressive,0.6,0.00214,4
Aggressive_Gradual,0.4,0.005196,4
Aggressive_TwoStage,0.6,0.00214,4
Conservative_Linear,0.4,0.005196,6
Conservative_Standard,0.6,0.00214,6
Conservative_Aggressive,0.8,0.00107,4
Conservative_Gradual,0.4,0.005196,6
Conservative_TwoStage,0.8,0.00107,4
VeryAggressive_Linear,0.4,0.005196,4
VeryAggressive_Standard,0.4,0.005196,4
VeryAggressive_Aggressive,0.6,0.000293,4
VeryAggressive_Gradual,0.4,0.005196,4
VeryAggressive_TwoStage,0.4,0.005196,4
Standard_Linear,0.6,0.0022,6
Standard_Standard,0.2,0.001126,7
Standard_Aggressive,0.2,0.005431,4
Standard_Gradual,0.4,0.005196,8
Standard_TwoStage,0.0,0.00255,4
