Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.000952,5
Moderate_Standard,0.4,0.003905,5
Moderate_Aggressive,0.4,0.003333,4
Moderate_Gradual,0.2,0.002952,5
Moderate_TwoStage,0.4,0.003143,4
Aggressive_Linear,0.2,0.002952,4
Aggressive_Standard,0.4,0.003048,4
Aggressive_Aggressive,0.4,0.003333,4
Aggressive_Gradual,0.2,0.002952,4
Aggressive_TwoStage,0.4,0.003048,4
Conservative_Linear,0.2,0.002952,6
Conservative_Standard,0.4,0.002857,6
Conservative_Aggressive,0.2,0.00381,4
Conservative_Gradual,0.2,0.002952,6
Conservative_TwoStage,0.2,0.00381,4
VeryAggressive_Linear,0.2,0.002952,4
VeryAggressive_Standard,0.2,0.002952,4
VeryAggressive_Aggressive,0.4,0.000952,4
VeryAggressive_Gradual,0.2,0.002952,4
VeryAggressive_TwoStage,0.2,0.002952,4
Standard_Linear,0.0,0.00419,6
Standard_Standard,0.6,0.002095,7
Standard_Aggressive,0.6,0.002857,4
Standard_Gradual,0.2,0.002952,8
Standard_TwoStage,0.4,0.003333,4
