Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.023846,5
Moderate_Standard,0.2,0.011385,5
Moderate_Aggressive,0.2,0.011077,4
Moderate_Gradual,0.2,0.027385,5
Moderate_TwoStage,0.4,0.012923,4
Aggressive_Linear,0.2,0.027385,4
Aggressive_Standard,0.2,0.014154,4
Aggressive_Aggressive,0.0,0.012308,4
Aggressive_Gradual,0.2,0.027385,4
Aggressive_TwoStage,0.2,0.014154,4
Conservative_Linear,0.2,0.014154,6
Conservative_Standard,0.0,0.012615,6
Conservative_Aggressive,0.2,0.011077,4
Conservative_Gradual,0.2,0.027385,6
Conservative_TwoStage,0.2,0.014154,4
VeryAggressive_Linear,0.2,0.027385,4
VeryAggressive_Standard,0.2,0.014154,4
VeryAggressive_Aggressive,0.0,0.012308,4
VeryAggressive_Gradual,0.2,0.027385,4
VeryAggressive_TwoStage,0.2,0.014154,4
Standard_Linear,0.0,0.017385,6
Standard_Standard,0.6,0.004615,7
Standard_Aggressive,0.2,0.011077,4
Standard_Gradual,0.2,0.023846,8
Standard_TwoStage,0.2,0.009538,4
