Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.8,0.000398,5
Moderate_Standard,0.8,0.000398,5
Moderate_Aggressive,0.8,0.000398,4
Moderate_Gradual,0.8,0.000398,5
Moderate_TwoStage,0.8,0.000398,4
Aggressive_Linear,0.8,0.000398,4
Aggressive_Standard,0.8,0.000398,4
Aggressive_Aggressive,0.8,0.000398,4
Aggressive_Gradual,0.8,0.000398,4
Aggressive_TwoStage,0.8,0.000398,4
Conservative_Linear,0.8,0.000398,6
Conservative_Standard,0.8,0.000398,6
Conservative_Aggressive,0.6,0.000796,4
Conservative_Gradual,0.8,0.000398,6
Conservative_TwoStage,0.6,0.000796,4
VeryAggressive_Linear,0.8,0.000398,4
VeryAggressive_Standard,0.8,0.000398,4
VeryAggressive_Aggressive,0.8,0.000398,4
VeryAggressive_Gradual,0.8,0.000398,4
VeryAggressive_TwoStage,0.8,0.000398,4
Standard_Linear,0.6,0.000796,6
Standard_Standard,0.8,0.000398,7
Standard_Aggressive,1.0,0.0,4
Standard_Gradual,0.8,0.000398,8
Standard_TwoStage,0.0,0.001989,4
