Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.029419,5
Moderate_Standard,0.2,0.029419,5
Moderate_Aggressive,0.6,0.017548,4
Moderate_Gradual,0.2,0.029419,5
Moderate_TwoStage,0.2,0.029419,4
Aggressive_Linear,0.2,0.029419,4
Aggressive_Standard,0.2,0.029419,4
Aggressive_Aggressive,0.6,0.010323,4
Aggressive_Gradual,0.2,0.029419,4
Aggressive_TwoStage,0.2,0.029419,4
Conservative_Linear,0.2,0.029419,6
Conservative_Standard,0.4,0.014194,6
Conservative_Aggressive,0.4,0.018839,4
Conservative_Gradual,0.2,0.029419,6
Conservative_TwoStage,0.2,0.024,4
VeryAggressive_Linear,0.2,0.029419,4
VeryAggressive_Standard,0.2,0.029419,4
VeryAggressive_Aggressive,0.4,0.010839,4
VeryAggressive_Gradual,0.2,0.029419,4
VeryAggressive_TwoStage,0.2,0.029419,4
Standard_Linear,0.2,0.027871,6
Standard_Standard,0.6,0.016,7
Standard_Aggressive,0.4,0.03071,4
Standard_Gradual,0.2,0.029419,8
Standard_TwoStage,0.2,0.046194,4
