Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.6,0.014512,5
Moderate_Standard,0.8,0.005953,5
Moderate_Aggressive,0.6,0.014326,4
Moderate_Gradual,0.6,0.014512,5
Moderate_TwoStage,0.6,0.014512,4
Aggressive_Linear,0.6,0.014512,4
Aggressive_Standard,0.6,0.014512,4
Aggressive_Aggressive,0.8,0.005953,4
Aggressive_Gradual,0.6,0.014512,4
Aggressive_TwoStage,0.6,0.014512,4
Conservative_Linear,0.6,0.014512,6
Conservative_Standard,0.8,0.005953,6
Conservative_Aggressive,0.4,0.017116,4
Conservative_Gradual,0.6,0.014512,6
Conservative_TwoStage,0.2,0.025488,4
VeryAggressive_Linear,0.6,0.014512,4
VeryAggressive_Standard,0.6,0.014512,4
VeryAggressive_Aggressive,0.8,0.005953,4
VeryAggressive_Gradual,0.6,0.014512,4
VeryAggressive_TwoStage,0.6,0.014512,4
Standard_Linear,0.6,0.013209,6
Standard_Standard,0.8,0.005953,7
Standard_Aggressive,0.0,0.010977,4
Standard_Gradual,0.6,0.014512,8
Standard_TwoStage,0.2,0.028651,4
