Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.005659,5
Moderate_Standard,0.0,0.001951,5
Moderate_Aggressive,0.4,0.001171,4
Moderate_Gradual,0.0,0.01122,5
Moderate_TwoStage,0.0,0.003122,4
Aggressive_Linear,0.0,0.011512,4
Aggressive_Standard,0.0,0.002634,4
Aggressive_Aggressive,0.0,0.000585,4
Aggressive_Gradual,0.0,0.01122,4
Aggressive_TwoStage,0.0,0.002634,4
Conservative_Linear,0.0,0.003902,6
Conservative_Standard,0.0,0.000878,6
Conservative_Aggressive,0.0,0.000878,4
Conservative_Gradual,0.0,0.01122,6
Conservative_TwoStage,0.0,0.001171,4
VeryAggressive_Linear,0.0,0.01122,4
VeryAggressive_Standard,0.0,0.002634,4
VeryAggressive_Aggressive,0.0,0.000585,4
VeryAggressive_Gradual,0.0,0.01122,4
VeryAggressive_TwoStage,0.0,0.002634,4
Standard_Linear,0.0,0.001171,6
Standard_Standard,0.4,0.000195,7
Standard_Aggressive,0.6,0.002049,4
Standard_Gradual,0.0,0.005366,8
Standard_TwoStage,0.0,0.005561,4
