Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.026,5
Moderate_Standard,0.0,0.014,5
Moderate_Aggressive,0.4,0.004,4
Moderate_Gradual,0.2,0.029,5
Moderate_TwoStage,0.4,0.009,4
Aggressive_Linear,0.2,0.029,4
Aggressive_Standard,0.4,0.013,4
Aggressive_Aggressive,0.6,0.002,4
Aggressive_Gradual,0.2,0.029,4
Aggressive_TwoStage,0.4,0.013,4
Conservative_Linear,0.0,0.024,6
Conservative_Standard,0.0,0.006,6
Conservative_Aggressive,0.2,0.002,4
Conservative_Gradual,0.2,0.026,6
Conservative_TwoStage,0.6,0.011,4
VeryAggressive_Linear,0.2,0.026,4
VeryAggressive_Standard,0.4,0.01,4
VeryAggressive_Aggressive,0.2,0.004,4
VeryAggressive_Gradual,0.2,0.026,4
VeryAggressive_TwoStage,0.4,0.01,4
Standard_Linear,0.4,0.018,6
Standard_Standard,0.6,0.0,7
Standard_Aggressive,0.4,0.018,4
Standard_Gradual,0.0,0.038,8
Standard_TwoStage,0.0,0.031,4
