Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.6,0.00097,5
Moderate_Standard,0.4,0.005697,5
Moderate_Aggressive,0.2,0.000485,4
Moderate_Gradual,0.4,0.004121,5
Moderate_TwoStage,0.4,0.005455,4
Aggressive_Linear,0.4,0.004121,4
Aggressive_Standard,0.6,0.005939,4
Aggressive_Aggressive,0.2,0.002061,4
Aggressive_Gradual,0.4,0.004121,4
Aggressive_TwoStage,0.6,0.005939,4
Conservative_Linear,0.4,0.004,6
Conservative_Standard,0.8,0.001939,6
Conservative_Aggressive,0.4,0.001455,4
Conservative_Gradual,0.4,0.004121,6
Conservative_TwoStage,0.6,0.005818,4
VeryAggressive_Linear,0.4,0.004121,4
VeryAggressive_Standard,0.6,0.00097,4
VeryAggressive_Aggressive,0.4,0.001455,4
VeryAggressive_Gradual,0.4,0.004121,4
VeryAggressive_TwoStage,0.6,0.00097,4
Standard_Linear,0.6,0.009091,6
Standard_Standard,0.2,0.001212,7
Standard_Aggressive,0.4,0.000364,4
Standard_Gradual,0.6,0.00097,8
Standard_TwoStage,0.0,0.003394,4
