Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.6,0.001193,5
Moderate_Standard,0.6,0.001193,5
Moderate_Aggressive,0.6,0.001193,4
Moderate_Gradual,0.6,0.001193,5
Moderate_TwoStage,0.6,0.001193,4
Aggressive_Linear,0.6,0.001193,4
Aggressive_Standard,0.6,0.001193,4
Aggressive_Aggressive,0.6,0.001193,4
Aggressive_Gradual,0.6,0.001193,4
Aggressive_TwoStage,0.6,0.001193,4
Conservative_Linear,0.6,0.001193,6
Conservative_Standard,0.6,0.001193,6
Conservative_Aggressive,0.6,0.003285,4
Conservative_Gradual,0.6,0.001193,6
Conservative_TwoStage,0.6,0.010694,4
VeryAggressive_Linear,0.6,0.001193,4
VeryAggressive_Standard,0.6,0.001193,4
VeryAggressive_Aggressive,0.6,0.001193,4
VeryAggressive_Gradual,0.6,0.001193,4
VeryAggressive_TwoStage,0.6,0.001193,4
Standard_Linear,0.4,0.016085,6
Standard_Standard,0.6,0.001193,7
Standard_Aggressive,0.2,0.024547,4
Standard_Gradual,0.6,0.001193,8
Standard_TwoStage,0.0,0.028784,4
