Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.001003,5
Moderate_Standard,0.4,0.001003,5
Moderate_Aggressive,0.6,0.000275,4
Moderate_Gradual,0.4,0.001003,5
Moderate_TwoStage,0.4,0.001003,4
Aggressive_Linear,0.4,0.001003,4
Aggressive_Standard,0.4,0.001003,4
Aggressive_Aggressive,0.4,0.000603,4
Aggressive_Gradual,0.4,0.001003,4
Aggressive_TwoStage,0.4,0.001003,4
Conservative_Linear,0.4,0.001003,6
Conservative_Standard,0.4,0.000603,6
Conservative_Aggressive,0.2,0.000977,4
Conservative_Gradual,0.4,0.001003,6
Conservative_TwoStage,0.2,0.000977,4
VeryAggressive_Linear,0.4,0.001003,4
VeryAggressive_Standard,0.4,0.001003,4
VeryAggressive_Aggressive,0.4,0.000603,4
VeryAggressive_Gradual,0.4,0.001003,4
VeryAggressive_TwoStage,0.4,0.001003,4
Standard_Linear,0.2,0.001384,6
Standard_Standard,0.6,0.000275,7
Standard_Aggressive,0.4,0.001272,4
Standard_Gradual,0.4,0.001003,8
Standard_TwoStage,0.4,0.001259,4
