Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.020364,5
Moderate_Standard,0.0,0.010182,5
Moderate_Aggressive,0.2,0.002909,4
Moderate_Gradual,0.0,0.025212,5
Moderate_TwoStage,0.0,0.01503,4
Aggressive_Linear,0.0,0.017455,4
Aggressive_Standard,0.2,0.010182,4
Aggressive_Aggressive,0.2,0.002909,4
Aggressive_Gradual,0.0,0.025212,4
Aggressive_TwoStage,0.2,0.010182,4
Conservative_Linear,0.2,0.010182,6
Conservative_Standard,0.2,0.003879,6
Conservative_Aggressive,0.4,0.001455,4
Conservative_Gradual,0.0,0.017939,6
Conservative_TwoStage,0.2,0.010667,4
VeryAggressive_Linear,0.0,0.020364,4
VeryAggressive_Standard,0.2,0.010182,4
VeryAggressive_Aggressive,0.4,0.002424,4
VeryAggressive_Gradual,0.0,0.023273,4
VeryAggressive_TwoStage,0.2,0.010182,4
Standard_Linear,0.0,0.009212,6
Standard_Standard,0.4,0.004364,7
Standard_Aggressive,0.2,0.005818,4
Standard_Gradual,0.0,0.018424,8
Standard_TwoStage,0.0,0.008242,4
