Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.0145,5
Moderate_Standard,0.0,0.015,5
Moderate_Aggressive,0.8,0.002,4
Moderate_Gradual,0.2,0.0145,5
Moderate_TwoStage,0.2,0.01175,4
Aggressive_Linear,0.2,0.0145,4
Aggressive_Standard,0.4,0.01025,4
Aggressive_Aggressive,0.4,0.00925,4
Aggressive_Gradual,0.2,0.0145,4
Aggressive_TwoStage,0.4,0.01025,4
Conservative_Linear,0.2,0.01275,6
Conservative_Standard,0.0,0.01225,6
Conservative_Aggressive,0.6,0.006,4
Conservative_Gradual,0.2,0.0145,6
Conservative_TwoStage,0.0,0.013,4
VeryAggressive_Linear,0.2,0.0145,4
VeryAggressive_Standard,0.2,0.01275,4
VeryAggressive_Aggressive,0.2,0.009,4
VeryAggressive_Gradual,0.2,0.0145,4
VeryAggressive_TwoStage,0.2,0.01275,4
Standard_Linear,0.2,0.0105,6
Standard_Standard,0.4,0.00525,7
Standard_Aggressive,0.4,0.014,4
Standard_Gradual,0.2,0.0145,8
Standard_TwoStage,0.0,0.0285,4
