Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.01084,5
Moderate_Standard,0.0,0.005928,5
Moderate_Aggressive,0.4,0.003549,4
Moderate_Gradual,0.0,0.01084,5
Moderate_TwoStage,0.0,0.005928,4
Aggressive_Linear,0.0,0.01084,4
Aggressive_Standard,0.0,0.01084,4
Aggressive_Aggressive,0.4,0.003195,4
Aggressive_Gradual,0.0,0.01084,4
Aggressive_TwoStage,0.0,0.01084,4
Conservative_Linear,0.0,0.004537,6
Conservative_Standard,0.0,0.002287,6
Conservative_Aggressive,0.4,0.003549,4
Conservative_Gradual,0.0,0.01084,6
Conservative_TwoStage,0.0,0.020768,4
VeryAggressive_Linear,0.0,0.01084,4
VeryAggressive_Standard,0.0,0.01084,4
VeryAggressive_Aggressive,0.0,0.002738,4
VeryAggressive_Gradual,0.0,0.01084,4
VeryAggressive_TwoStage,0.0,0.01084,4
Standard_Linear,0.0,0.008805,6
Standard_Standard,0.4,0.003195,7
Standard_Aggressive,0.0,0.009058,4
Standard_Gradual,0.0,0.01084,8
Standard_TwoStage,0.0,0.024827,4
