Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.012645,5
Moderate_Standard,0.4,0.012645,5
Moderate_Aggressive,0.4,0.010323,4
Moderate_Gradual,0.4,0.012645,5
Moderate_TwoStage,0.4,0.012645,4
Aggressive_Linear,0.4,0.010323,4
Aggressive_Standard,0.4,0.010323,4
Aggressive_Aggressive,0.4,0.012645,4
Aggressive_Gradual,0.4,0.012645,4
Aggressive_TwoStage,0.4,0.010323,4
Conservative_Linear,0.4,0.010323,6
Conservative_Standard,0.4,0.012645,6
Conservative_Aggressive,0.4,0.013419,4
Conservative_Gradual,0.4,0.012645,6
Conservative_TwoStage,0.4,0.006968,4
VeryAggressive_Linear,0.4,0.010323,4
VeryAggressive_Standard,0.4,0.010323,4
VeryAggressive_Aggressive,0.4,0.012645,4
VeryAggressive_Gradual,0.4,0.010323,4
VeryAggressive_TwoStage,0.4,0.010323,4
Standard_Linear,0.0,0.026323,6
Standard_Standard,0.6,0.005419,7
Standard_Aggressive,0.4,0.008,4
Standard_Gradual,0.4,0.012645,8
Standard_TwoStage,0.2,0.020129,4
