Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.6,0.018446,5
Moderate_Standard,0.6,0.018446,5
Moderate_Aggressive,1.0,0.0,4
Moderate_Gradual,0.6,0.018446,5
Moderate_TwoStage,0.6,0.018446,4
Aggressive_Linear,0.6,0.018446,4
Aggressive_Standard,0.6,0.018446,4
Aggressive_Aggressive,0.6,0.018446,4
Aggressive_Gradual,0.6,0.018446,4
Aggressive_TwoStage,0.6,0.018446,4
Conservative_Linear,0.6,0.018446,6
Conservative_Standard,0.6,0.018446,6
Conservative_Aggressive,0.8,0.009223,4
Conservative_Gradual,0.6,0.018446,6
Conservative_TwoStage,0.8,0.009223,4
VeryAggressive_Linear,0.6,0.018446,4
VeryAggressive_Standard,0.6,0.018446,4
VeryAggressive_Aggressive,0.6,0.018446,4
VeryAggressive_Gradual,0.6,0.018446,4
VeryAggressive_TwoStage,0.6,0.018446,4
Standard_Linear,0.8,0.009223,6
Standard_Standard,0.6,0.018446,7
Standard_Aggressive,0.4,0.080153,4
Standard_Gradual,0.6,0.018446,8
Standard_TwoStage,0.2,0.117045,4
