Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.038884,5
Moderate_Standard,0.8,0.020093,5
Moderate_Aggressive,0.6,0.021209,4
Moderate_Gradual,0.2,0.038884,5
Moderate_TwoStage,0.6,0.041116,4
Aggressive_Linear,0.2,0.038884,4
Aggressive_Standard,0.2,0.038884,4
Aggressive_Aggressive,0.6,0.010791,4
Aggressive_Gradual,0.2,0.038884,4
Aggressive_TwoStage,0.2,0.038884,4
Conservative_Linear,0.4,0.01786,6
Conservative_Standard,0.4,0.012465,6
Conservative_Aggressive,0.2,0.015256,4
Conservative_Gradual,0.2,0.038884,6
Conservative_TwoStage,0.6,0.019349,4
VeryAggressive_Linear,0.2,0.038884,4
VeryAggressive_Standard,0.2,0.038884,4
VeryAggressive_Aggressive,0.4,0.012465,4
VeryAggressive_Gradual,0.2,0.038884,4
VeryAggressive_TwoStage,0.2,0.038884,4
Standard_Linear,0.4,0.020837,6
Standard_Standard,1.0,0.0,7
Standard_Aggressive,0.2,0.021023,4
Standard_Gradual,0.2,0.038884,8
Standard_TwoStage,0.0,0.090977,4
