Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.04,5
Moderate_Standard,0.2,0.034,5
Moderate_Aggressive,0.6,0.021,4
Moderate_Gradual,0.2,0.036,5
Moderate_TwoStage,0.2,0.029,4
Aggressive_Linear,0.2,0.036,4
Aggressive_Standard,0.2,0.031,4
Aggressive_Aggressive,0.2,0.024,4
Aggressive_Gradual,0.2,0.036,4
Aggressive_TwoStage,0.2,0.031,4
Conservative_Linear,0.2,0.023,6
Conservative_Standard,0.2,0.027,6
Conservative_Aggressive,0.2,0.024,4
Conservative_Gradual,0.2,0.036,6
Conservative_TwoStage,0.2,0.033,4
VeryAggressive_Linear,0.2,0.036,4
VeryAggressive_Standard,0.2,0.034,4
VeryAggressive_Aggressive,0.2,0.025,4
VeryAggressive_Gradual,0.2,0.04,4
VeryAggressive_TwoStage,0.2,0.034,4
Standard_Linear,0.2,0.036,6
Standard_Standard,0.4,0.018,7
Standard_Aggressive,0.6,0.024,4
Standard_Gradual,0.2,0.036,8
Standard_TwoStage,0.2,0.034,4
