Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.002244,5
Moderate_Standard,0.2,0.003415,5
Moderate_Aggressive,0.2,0.002244,4
Moderate_Gradual,0.4,0.002244,5
Moderate_TwoStage,0.4,0.001073,4
Aggressive_Linear,0.4,0.001171,4
Aggressive_Standard,0.4,0.002244,4
Aggressive_Aggressive,0.2,0.001366,4
Aggressive_Gradual,0.4,0.001171,4
Aggressive_TwoStage,0.4,0.002244,4
Conservative_Linear,0.4,0.001171,6
Conservative_Standard,0.2,0.001463,6
Conservative_Aggressive,0.2,0.001268,4
Conservative_Gradual,0.4,0.002244,6
Conservative_TwoStage,0.4,0.001171,4
VeryAggressive_Linear,0.4,0.001171,4
VeryAggressive_Standard,0.4,0.002244,4
VeryAggressive_Aggressive,0.2,0.001366,4
VeryAggressive_Gradual,0.4,0.001171,4
VeryAggressive_TwoStage,0.4,0.002244,4
Standard_Linear,0.4,0.002634,6
Standard_Standard,0.4,0.001463,7
Standard_Aggressive,0.6,0.002732,4
Standard_Gradual,0.4,0.002634,8
Standard_TwoStage,0.4,0.003024,4
