Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.031,5
Moderate_Standard,0.2,0.019,5
Moderate_Aggressive,0.4,0.014,4
Moderate_Gradual,0.2,0.045,5
Moderate_TwoStage,0.2,0.043,4
Aggressive_Linear,0.2,0.044,4
Aggressive_Standard,0.2,0.025,4
Aggressive_Aggressive,0.2,0.011,4
Aggressive_Gradual,0.2,0.045,4
Aggressive_TwoStage,0.2,0.025,4
Conservative_Linear,0.2,0.019,6
Conservative_Standard,0.2,0.018,6
Conservative_Aggressive,0.2,0.015,4
Conservative_Gradual,0.2,0.044,6
Conservative_TwoStage,0.2,0.027,4
VeryAggressive_Linear,0.2,0.045,4
VeryAggressive_Standard,0.2,0.025,4
VeryAggressive_Aggressive,0.2,0.013,4
VeryAggressive_Gradual,0.2,0.045,4
VeryAggressive_TwoStage,0.2,0.025,4
Standard_Linear,0.2,0.028,6
Standard_Standard,0.4,0.01,7
Standard_Aggressive,0.6,0.019,4
Standard_Gradual,0.2,0.042,8
Standard_TwoStage,0.0,0.052,4
