Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.004848,5
Moderate_Standard,0.2,0.004848,5
Moderate_Aggressive,0.4,0.001818,4
Moderate_Gradual,0.2,0.004848,5
Moderate_TwoStage,0.2,0.004848,4
Aggressive_Linear,0.2,0.004848,4
Aggressive_Standard,0.2,0.004848,4
Aggressive_Aggressive,0.4,0.001818,4
Aggressive_Gradual,0.2,0.004848,4
Aggressive_TwoStage,0.2,0.004848,4
Conservative_Linear,0.2,0.004848,6
Conservative_Standard,0.4,0.001818,6
Conservative_Aggressive,0.4,0.002061,4
Conservative_Gradual,0.2,0.004848,6
Conservative_TwoStage,0.2,0.004848,4
VeryAggressive_Linear,0.2,0.004848,4
VeryAggressive_Standard,0.2,0.004848,4
VeryAggressive_Aggressive,0.4,0.001818,4
VeryAggressive_Gradual,0.2,0.004848,4
VeryAggressive_TwoStage,0.2,0.004848,4
Standard_Linear,0.2,0.004848,6
Standard_Standard,0.4,0.001818,7
Standard_Aggressive,0.2,0.009455,4
Standard_Gradual,0.2,0.004848,8
Standard_TwoStage,0.2,0.004848,4
