Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.002142,5
Moderate_Standard,0.2,0.001853,5
Moderate_Aggressive,0.6,0.001632,4
Moderate_Gradual,0.2,0.002142,5
Moderate_TwoStage,0.2,0.001853,4
Aggressive_Linear,0.2,0.002142,4
Aggressive_Standard,0.2,0.002325,4
Aggressive_Aggressive,0.2,0.000956,4
Aggressive_Gradual,0.2,0.002142,4
Aggressive_TwoStage,0.2,0.002325,4
Conservative_Linear,0.2,0.002142,6
Conservative_Standard,0.2,0.000956,6
Conservative_Aggressive,0.2,0.000956,4
Conservative_Gradual,0.2,0.002142,6
Conservative_TwoStage,0.2,0.002325,4
VeryAggressive_Linear,0.2,0.002142,4
VeryAggressive_Standard,0.2,0.002142,4
VeryAggressive_Aggressive,0.2,0.000577,4
VeryAggressive_Gradual,0.2,0.002142,4
VeryAggressive_TwoStage,0.2,0.002142,4
Standard_Linear,0.2,0.00152,6
Standard_Standard,0.6,0.001261,7
Standard_Aggressive,0.0,0.001861,4
Standard_Gradual,0.2,0.002142,8
Standard_TwoStage,0.0,0.004457,4
