Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.0152,5
Moderate_Standard,0.2,0.0104,5
Moderate_Aggressive,0.2,0.0148,4
Moderate_Gradual,0.2,0.018,5
Moderate_TwoStage,0.2,0.0112,4
Aggressive_Linear,0.2,0.018,4
Aggressive_Standard,0.2,0.0132,4
Aggressive_Aggressive,0.2,0.0044,4
Aggressive_Gradual,0.2,0.018,4
Aggressive_TwoStage,0.2,0.0132,4
Conservative_Linear,0.2,0.0132,6
Conservative_Standard,0.2,0.0092,6
Conservative_Aggressive,0.4,0.0072,4
Conservative_Gradual,0.2,0.0152,6
Conservative_TwoStage,0.2,0.0156,4
VeryAggressive_Linear,0.2,0.018,4
VeryAggressive_Standard,0.2,0.0132,4
VeryAggressive_Aggressive,0.2,0.004,4
VeryAggressive_Gradual,0.2,0.018,4
VeryAggressive_TwoStage,0.2,0.0132,4
Standard_Linear,0.2,0.0168,6
Standard_Standard,0.4,0.006,7
Standard_Aggressive,0.2,0.0176,4
Standard_Gradual,0.2,0.0152,8
Standard_TwoStage,0.0,0.0248,4
