Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.8,0.002769,5
Moderate_Standard,0.6,0.006462,5
Moderate_Aggressive,0.4,0.002923,4
Moderate_Gradual,0.8,0.002769,5
Moderate_TwoStage,0.6,0.006462,4
Aggressive_Linear,0.8,0.002769,4
Aggressive_Standard,0.8,0.002769,4
Aggressive_Aggressive,0.8,0.002769,4
Aggressive_Gradual,0.8,0.002769,4
Aggressive_TwoStage,0.8,0.002769,4
Conservative_Linear,0.8,0.002769,6
Conservative_Standard,0.8,0.002923,6
Conservative_Aggressive,0.6,0.006308,4
Conservative_Gradual,0.8,0.002769,6
Conservative_TwoStage,0.6,0.005846,4
VeryAggressive_Linear,0.8,0.002769,4
VeryAggressive_Standard,0.8,0.002769,4
VeryAggressive_Aggressive,0.8,0.002769,4
VeryAggressive_Gradual,0.8,0.002769,4
VeryAggressive_TwoStage,0.8,0.002769,4
Standard_Linear,0.8,0.002769,6
Standard_Standard,1.0,0.0,7
Standard_Aggressive,0.0,0.005077,4
Standard_Gradual,0.8,0.002769,8
Standard_TwoStage,0.0,0.023846,4
