Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.015273,5
Moderate_Standard,0.6,0.012364,5
Moderate_Aggressive,0.6,0.010182,4
Moderate_Gradual,0.4,0.015273,5
Moderate_TwoStage,0.6,0.012364,4
Aggressive_Linear,0.4,0.017455,4
Aggressive_Standard,0.4,0.017455,4
Aggressive_Aggressive,0.4,0.00703,4
Aggressive_Gradual,0.4,0.017455,4
Aggressive_TwoStage,0.4,0.017455,4
Conservative_Linear,0.4,0.017455,6
Conservative_Standard,0.4,0.00703,6
Conservative_Aggressive,0.0,0.016,4
Conservative_Gradual,0.4,0.017455,6
Conservative_TwoStage,0.2,0.017455,4
VeryAggressive_Linear,0.4,0.017455,4
VeryAggressive_Standard,0.4,0.015273,4
VeryAggressive_Aggressive,0.4,0.00703,4
VeryAggressive_Gradual,0.4,0.017455,4
VeryAggressive_TwoStage,0.4,0.015273,4
Standard_Linear,0.4,0.012364,6
Standard_Standard,0.6,0.005091,7
Standard_Aggressive,0.6,0.005818,4
Standard_Gradual,0.4,0.017455,8
Standard_TwoStage,0.2,0.011636,4
