Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.014194,5
Moderate_Standard,0.4,0.009548,5
Moderate_Aggressive,0.4,0.009548,4
Moderate_Gradual,0.4,0.014194,5
Moderate_TwoStage,0.4,0.014194,4
Aggressive_Linear,0.4,0.014194,4
Aggressive_Standard,0.4,0.014194,4
Aggressive_Aggressive,0.4,0.009548,4
Aggressive_Gradual,0.4,0.025032,4
Aggressive_TwoStage,0.4,0.014194,4
Conservative_Linear,0.4,0.009548,6
Conservative_Standard,0.4,0.009548,6
Conservative_Aggressive,0.6,0.005677,4
Conservative_Gradual,0.4,0.014194,6
Conservative_TwoStage,0.4,0.014194,4
VeryAggressive_Linear,0.4,0.014194,4
VeryAggressive_Standard,0.4,0.014194,4
VeryAggressive_Aggressive,0.4,0.009548,4
VeryAggressive_Gradual,0.4,0.025032,4
VeryAggressive_TwoStage,0.4,0.014194,4
Standard_Linear,0.4,0.018065,6
Standard_Standard,0.6,0.005677,7
Standard_Aggressive,0.4,0.013677,4
Standard_Gradual,0.4,0.014194,8
Standard_TwoStage,0.0,0.026065,4
