Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.000488,5
Moderate_Standard,0.2,0.0,5
Moderate_Aggressive,0.2,0.0,4
Moderate_Gradual,0.4,0.000488,5
Moderate_TwoStage,0.4,0.0,4
Aggressive_Linear,0.2,0.00039,4
Aggressive_Standard,0.2,0.00039,4
Aggressive_Aggressive,0.4,0.0,4
Aggressive_Gradual,0.4,0.00078,4
Aggressive_TwoStage,0.2,0.00039,4
Conservative_Linear,0.2,0.00039,6
Conservative_Standard,0.4,0.000293,6
Conservative_Aggressive,0.8,9.8e-05,4
Conservative_Gradual,0.4,0.00078,6
Conservative_TwoStage,0.2,0.00039,4
VeryAggressive_Linear,0.4,0.00078,4
VeryAggressive_Standard,0.4,0.00078,4
VeryAggressive_Aggressive,0.2,0.000878,4
VeryAggressive_Gradual,0.4,0.00078,4
VeryAggressive_TwoStage,0.4,0.00078,4
Standard_Linear,0.2,0.00039,6
Standard_Standard,0.4,0.000293,7
Standard_Aggressive,0.2,0.0,4
Standard_Gradual,0.2,0.00039,8
Standard_TwoStage,0.2,0.00039,4
