Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.6,0.009274,5
Moderate_Standard,0.6,0.009427,5
Moderate_Aggressive,0.4,0.008306,4
Moderate_Gradual,0.6,0.009274,5
Moderate_TwoStage,0.6,0.009427,4
Aggressive_Linear,0.6,0.009274,4
Aggressive_Standard,0.6,0.009274,4
Aggressive_Aggressive,0.6,0.009427,4
Aggressive_Gradual,0.6,0.009274,4
Aggressive_TwoStage,0.6,0.009274,4
Conservative_Linear,0.6,0.009274,6
Conservative_Standard,0.6,0.006522,6
Conservative_Aggressive,0.4,0.017223,4
Conservative_Gradual,0.6,0.009274,6
Conservative_TwoStage,0.2,0.029809,4
VeryAggressive_Linear,0.6,0.009274,4
VeryAggressive_Standard,0.6,0.009274,4
VeryAggressive_Aggressive,0.6,0.006522,4
VeryAggressive_Gradual,0.6,0.009274,4
VeryAggressive_TwoStage,0.6,0.009274,4
Standard_Linear,0.4,0.009631,6
Standard_Standard,0.8,0.003414,7
Standard_Aggressive,0.4,0.019669,4
Standard_Gradual,0.6,0.009274,8
Standard_TwoStage,0.2,0.023236,4
