Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.013209,5
Moderate_Standard,0.0,0.00707,5
Moderate_Aggressive,0.2,0.002605,4
Moderate_Gradual,0.2,0.013209,5
Moderate_TwoStage,0.0,0.011163,4
Aggressive_Linear,0.2,0.013209,4
Aggressive_Standard,0.2,0.013209,4
Aggressive_Aggressive,0.2,0.002791,4
Aggressive_Gradual,0.2,0.013209,4
Aggressive_TwoStage,0.2,0.013209,4
Conservative_Linear,0.2,0.013209,6
Conservative_Standard,0.2,0.002791,6
Conservative_Aggressive,0.2,0.004093,4
Conservative_Gradual,0.2,0.013209,6
Conservative_TwoStage,0.0,0.012465,4
VeryAggressive_Linear,0.2,0.013209,4
VeryAggressive_Standard,0.2,0.013209,4
VeryAggressive_Aggressive,0.2,0.002791,4
VeryAggressive_Gradual,0.2,0.013209,4
VeryAggressive_TwoStage,0.2,0.013209,4
Standard_Linear,0.0,0.00893,6
Standard_Standard,0.4,0.001116,7
Standard_Aggressive,0.4,0.007442,4
Standard_Gradual,0.2,0.013209,8
Standard_TwoStage,0.0,0.012837,4
