Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.027333,5
Moderate_Standard,0.0,0.019333,5
Moderate_Aggressive,0.2,0.012667,4
Moderate_Gradual,0.2,0.024,5
Moderate_TwoStage,0.2,0.024,4
Aggressive_Linear,0.2,0.027333,4
Aggressive_Standard,0.2,0.027333,4
Aggressive_Aggressive,0.2,0.010667,4
Aggressive_Gradual,0.2,0.027333,4
Aggressive_TwoStage,0.2,0.027333,4
Conservative_Linear,0.2,0.02,6
Conservative_Standard,0.0,0.014667,6
Conservative_Aggressive,0.0,0.004667,4
Conservative_Gradual,0.2,0.027333,6
Conservative_TwoStage,0.0,0.032667,4
VeryAggressive_Linear,0.2,0.024,4
VeryAggressive_Standard,0.2,0.027333,4
VeryAggressive_Aggressive,0.2,0.010667,4
VeryAggressive_Gradual,0.2,0.027333,4
VeryAggressive_TwoStage,0.2,0.027333,4
Standard_Linear,0.0,0.029333,6
Standard_Standard,0.2,0.002667,7
Standard_Aggressive,0.6,0.013333,4
Standard_Gradual,0.2,0.027333,8
Standard_TwoStage,0.2,0.024,4
