Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.000585,5
Moderate_Standard,0.2,0.000683,5
Moderate_Aggressive,0.4,0.000585,4
Moderate_Gradual,0.2,0.000976,5
Moderate_TwoStage,0.2,0.000683,4
Aggressive_Linear,0.2,0.001171,4
Aggressive_Standard,0.0,0.000585,4
Aggressive_Aggressive,0.2,0.000683,4
Aggressive_Gradual,0.2,0.001171,4
Aggressive_TwoStage,0.0,0.000585,4
Conservative_Linear,0.2,0.001171,6
Conservative_Standard,0.2,0.000293,6
Conservative_Aggressive,1.0,0.0,4
Conservative_Gradual,0.2,0.000585,6
Conservative_TwoStage,0.0,0.000293,4
VeryAggressive_Linear,0.2,0.000976,4
VeryAggressive_Standard,0.2,0.000585,4
VeryAggressive_Aggressive,0.2,0.000585,4
VeryAggressive_Gradual,0.2,0.000976,4
VeryAggressive_TwoStage,0.2,0.000585,4
Standard_Linear,0.0,0.00039,6
Standard_Standard,1.0,0.0,7
Standard_Aggressive,1.0,0.0,4
Standard_Gradual,0.2,0.000293,8
Standard_TwoStage,0.2,0.00078,4
