Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.024333,5
Moderate_Standard,0.2,0.023,5
Moderate_Aggressive,0.4,0.015333,4
Moderate_Gradual,0.2,0.024333,5
Moderate_TwoStage,0.2,0.024333,4
Aggressive_Linear,0.2,0.024333,4
Aggressive_Standard,0.2,0.024333,4
Aggressive_Aggressive,0.4,0.003,4
Aggressive_Gradual,0.2,0.024333,4
Aggressive_TwoStage,0.2,0.024333,4
Conservative_Linear,0.2,0.024333,6
Conservative_Standard,0.4,0.003,6
Conservative_Aggressive,0.2,0.016333,4
Conservative_Gradual,0.2,0.024333,6
Conservative_TwoStage,0.2,0.012,4
VeryAggressive_Linear,0.2,0.024333,4
VeryAggressive_Standard,0.2,0.024333,4
VeryAggressive_Aggressive,0.4,0.004,4
VeryAggressive_Gradual,0.2,0.024333,4
VeryAggressive_TwoStage,0.2,0.024333,4
Standard_Linear,0.2,0.022333,6
Standard_Standard,0.4,0.003,7
Standard_Aggressive,0.2,0.02,4
Standard_Gradual,0.2,0.024333,8
Standard_TwoStage,0.0,0.042333,4
