Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.003135,5
Moderate_Standard,0.0,0.001103,5
Moderate_Aggressive,0.4,0.000677,4
Moderate_Gradual,0.0,0.003135,5
Moderate_TwoStage,0.0,0.002121,4
Aggressive_Linear,0.0,0.003135,4
Aggressive_Standard,0.0,0.002754,4
Aggressive_Aggressive,0.4,0.00071,4
Aggressive_Gradual,0.0,0.003135,4
Aggressive_TwoStage,0.0,0.002754,4
Conservative_Linear,0.0,0.00205,6
Conservative_Standard,0.2,0.001155,6
Conservative_Aggressive,0.4,0.000677,4
Conservative_Gradual,0.0,0.003135,6
Conservative_TwoStage,0.0,0.003189,4
VeryAggressive_Linear,0.0,0.003135,4
VeryAggressive_Standard,0.0,0.003014,4
VeryAggressive_Aggressive,0.0,0.00077,4
VeryAggressive_Gradual,0.0,0.003135,4
VeryAggressive_TwoStage,0.0,0.003014,4
Standard_Linear,0.0,0.001653,6
Standard_Standard,0.4,0.000377,7
Standard_Aggressive,0.2,0.002107,4
Standard_Gradual,0.0,0.003135,8
Standard_TwoStage,0.0,0.003581,4
