Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.016857,5
Moderate_Standard,0.2,0.016857,5
Moderate_Aggressive,0.6,0.01381,4
Moderate_Gradual,0.2,0.016857,5
Moderate_TwoStage,0.2,0.016857,4
Aggressive_Linear,0.2,0.016857,4
Aggressive_Standard,0.2,0.016857,4
Aggressive_Aggressive,0.2,0.01319,4
Aggressive_Gradual,0.2,0.016857,4
Aggressive_TwoStage,0.2,0.016857,4
Conservative_Linear,0.2,0.016857,6
Conservative_Standard,0.2,0.01319,6
Conservative_Aggressive,0.2,0.01319,4
Conservative_Gradual,0.2,0.016857,6
Conservative_TwoStage,0.2,0.01319,4
VeryAggressive_Linear,0.2,0.016857,4
VeryAggressive_Standard,0.2,0.016857,4
VeryAggressive_Aggressive,0.2,0.01319,4
VeryAggressive_Gradual,0.2,0.016857,4
VeryAggressive_TwoStage,0.2,0.016857,4
Standard_Linear,0.4,0.00719,6
Standard_Standard,0.4,0.001286,7
Standard_Aggressive,0.0,0.028905,4
Standard_Gradual,0.2,0.016857,8
Standard_TwoStage,0.0,0.04481,4
