Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.0188,5
Moderate_Standard,0.2,0.0132,5
Moderate_Aggressive,0.6,0.0072,4
Moderate_Gradual,0.2,0.0188,5
Moderate_TwoStage,0.2,0.0132,4
Aggressive_Linear,0.2,0.02,4
Aggressive_Standard,0.2,0.0132,4
Aggressive_Aggressive,0.2,0.0104,4
Aggressive_Gradual,0.2,0.0188,4
Aggressive_TwoStage,0.2,0.0132,4
Conservative_Linear,0.2,0.02,6
Conservative_Standard,0.2,0.0104,6
Conservative_Aggressive,0.2,0.0116,4
Conservative_Gradual,0.2,0.0188,6
Conservative_TwoStage,0.2,0.0144,4
VeryAggressive_Linear,0.2,0.0188,4
VeryAggressive_Standard,0.2,0.0188,4
VeryAggressive_Aggressive,0.2,0.0128,4
VeryAggressive_Gradual,0.2,0.0188,4
VeryAggressive_TwoStage,0.2,0.0188,4
Standard_Linear,0.2,0.0104,6
Standard_Standard,0.2,0.0076,7
Standard_Aggressive,0.8,0.006,4
Standard_Gradual,0.2,0.0188,8
Standard_TwoStage,0.0,0.0144,4
