Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.0,0.005692,5
Moderate_Standard,0.2,0.004923,5
Moderate_Aggressive,0.2,0.002462,4
Moderate_Gradual,0.0,0.020462,5
Moderate_TwoStage,0.2,0.007692,4
Aggressive_Linear,0.0,0.014154,4
Aggressive_Standard,0.0,0.008308,4
Aggressive_Aggressive,0.2,0.003077,4
Aggressive_Gradual,0.0,0.033692,4
Aggressive_TwoStage,0.0,0.008308,4
Conservative_Linear,0.0,0.005692,6
Conservative_Standard,0.2,0.003077,6
Conservative_Aggressive,0.4,0.002462,4
Conservative_Gradual,0.0,0.010615,6
Conservative_TwoStage,0.0,0.004,4
VeryAggressive_Linear,0.0,0.010615,4
VeryAggressive_Standard,0.0,0.005692,4
VeryAggressive_Aggressive,0.2,0.002462,4
VeryAggressive_Gradual,0.0,0.033692,4
VeryAggressive_TwoStage,0.0,0.005692,4
Standard_Linear,0.0,0.004,6
Standard_Standard,0.6,0.001231,7
Standard_Aggressive,0.4,0.002462,4
Standard_Gradual,0.0,0.005692,8
Standard_TwoStage,0.0,0.007077,4
