Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.2,0.033212,5
Moderate_Standard,0.4,0.016242,5
Moderate_Aggressive,0.6,0.007515,4
Moderate_Gradual,0.2,0.033212,5
Moderate_TwoStage,0.2,0.033212,4
Aggressive_Linear,0.2,0.033212,4
Aggressive_Standard,0.2,0.033212,4
Aggressive_Aggressive,0.4,0.010909,4
Aggressive_Gradual,0.2,0.033212,4
Aggressive_TwoStage,0.2,0.033212,4
Conservative_Linear,0.2,0.033212,6
Conservative_Standard,0.4,0.010909,6
Conservative_Aggressive,0.4,0.015758,4
Conservative_Gradual,0.2,0.033212,6
Conservative_TwoStage,0.0,0.036364,4
VeryAggressive_Linear,0.2,0.033212,4
VeryAggressive_Standard,0.2,0.033212,4
VeryAggressive_Aggressive,0.4,0.010909,4
VeryAggressive_Gradual,0.2,0.033212,4
VeryAggressive_TwoStage,0.2,0.033212,4
Standard_Linear,0.4,0.021576,6
Standard_Standard,0.8,0.002909,7
Standard_Aggressive,0.4,0.021576,4
Standard_Gradual,0.2,0.033212,8
Standard_TwoStage,0.4,0.03103,4
