Hybrid_Schedule,Round,Configs,Epochs,Hit_Probability,Regret
Moderate_Linear,1,100,1,1.0,0.0
Moderate_Linear,2,80,10,1.0,0.0
Moderate_Linear,3,60,30,0.8,0.00075
Moderate_Linear,4,40,100,1.0,0.0
Moderate_Linear,5,1,100,0.4,0.0145
Moderate_Standard,1,100,1,1.0,0.0
Moderate_Standard,2,50,10,0.4,0.00375
Moderate_Standard,3,25,30,0.6,0.0015
Moderate_Standard,4,12,100,0.6,0.003
Moderate_Standard,5,1,100,0.2,0.01275
Moderate_Aggressive,1,100,1,1.0,0.0
Moderate_Aggressive,2,20,10,0.2,0.00775
Moderate_Aggressive,3,5,30,0.0,0.01625
Moderate_Aggressive,4,1,100,0.4,0.0045
Moderate_Gradual,1,100,1,1.0,0.0
Moderate_Gradual,2,90,10,1.0,0.0
Moderate_Gradual,3,80,30,1.0,0.0
Moderate_Gradual,4,70,100,1.0,0.0
Moderate_Gradual,5,1,100,0.2,0.0355
Moderate_TwoStage,1,100,1,1.0,0.0
Moderate_TwoStage,2,50,10,0.4,0.00375
Moderate_TwoStage,3,25,30,0.6,0.0015
Moderate_TwoStage,4,1,100,0.2,0.01275
Aggressive_Linear,1,100,1,1.0,0.0
Aggressive_Linear,2,80,20,1.0,0.0
Aggressive_Linear,3,60,100,1.0,0.0
Aggressive_Linear,4,1,100,0.4,0.0145
Aggressive_Standard,1,100,1,1.0,0.0
Aggressive_Standard,2,50,20,1.0,0.0
Aggressive_Standard,3,25,100,1.0,0.0
Aggressive_Standard,4,1,100,0.4,0.01525
Aggressive_Aggressive,1,100,1,1.0,0.0
Aggressive_Aggressive,2,20,20,0.0,0.00925
Aggressive_Aggressive,3,5,100,0.6,0.003
Aggressive_Aggressive,4,1,100,0.4,0.0105
Aggressive_Gradual,1,100,1,1.0,0.0
Aggressive_Gradual,2,90,20,1.0,0.0
Aggressive_Gradual,3,80,100,1.0,0.0
Aggressive_Gradual,4,1,100,0.2,0.02925
Aggressive_TwoStage,1,100,1,1.0,0.0
Aggressive_TwoStage,2,50,20,1.0,0.0
Aggressive_TwoStage,3,25,100,1.0,0.0
Aggressive_TwoStage,4,1,100,0.4,0.01525
Conservative_Linear,1,100,5,1.0,0.0
Conservative_Linear,2,80,20,1.0,0.0
Conservative_Linear,3,60,50,0.8,0.00075
Conservative_Linear,4,40,75,1.0,0.0
Conservative_Linear,5,20,100,1.0,0.0
Conservative_Linear,6,1,100,0.4,0.01525
Conservative_Standard,1,100,5,1.0,0.0
Conservative_Standard,2,50,20,1.0,0.0
Conservative_Standard,3,25,50,0.8,0.00075
Conservative_Standard,4,12,75,0.8,0.002
Conservative_Standard,5,6,100,0.6,0.00275
Conservative_Standard,6,1,100,0.2,0.006
Conservative_Aggressive,1,100,5,1.0,0.0
Conservative_Aggressive,2,20,20,0.0,0.00925
Conservative_Aggressive,3,5,50,0.4,0.0045
Conservative_Aggressive,4,1,75,0.2,0.01375
Conservative_Gradual,1,100,5,1.0,0.0
Conservative_Gradual,2,90,20,1.0,0.0
Conservative_Gradual,3,80,50,1.0,0.0
Conservative_Gradual,4,70,75,1.0,0.0
Conservative_Gradual,5,60,100,1.0,0.0
Conservative_Gradual,6,1,100,0.4,0.02
Conservative_TwoStage,1,100,5,1.0,0.0
Conservative_TwoStage,2,50,20,1.0,0.0
Conservative_TwoStage,3,25,50,0.8,0.00075
Conservative_TwoStage,4,1,75,0.2,0.016
VeryAggressive_Linear,1,100,1,1.0,0.0
VeryAggressive_Linear,2,80,50,1.0,0.0
VeryAggressive_Linear,3,60,100,1.0,0.0
VeryAggressive_Linear,4,1,100,0.4,0.02
VeryAggressive_Standard,1,100,1,1.0,0.0
VeryAggressive_Standard,2,50,50,0.8,0.00075
VeryAggressive_Standard,3,25,100,1.0,0.0
VeryAggressive_Standard,4,1,100,0.2,0.02
VeryAggressive_Aggressive,1,100,1,1.0,0.0
VeryAggressive_Aggressive,2,20,50,0.8,0.00075
VeryAggressive_Aggressive,3,5,100,0.6,0.0045
VeryAggressive_Aggressive,4,1,100,0.2,0.006
VeryAggressive_Gradual,1,100,1,1.0,0.0
VeryAggressive_Gradual,2,90,50,1.0,0.0
VeryAggressive_Gradual,3,80,100,1.0,0.0
VeryAggressive_Gradual,4,1,100,0.2,0.03475
VeryAggressive_TwoStage,1,100,1,1.0,0.0
VeryAggressive_TwoStage,2,50,50,0.8,0.00075
VeryAggressive_TwoStage,3,25,100,1.0,0.0
VeryAggressive_TwoStage,4,1,100,0.2,0.02
Standard_Linear,1,100,1,1.0,0.0
Standard_Linear,2,80,5,0.8,0.00075
Standard_Linear,3,60,15,1.0,0.0
Standard_Linear,4,40,30,0.8,0.00075
Standard_Linear,5,20,50,0.8,0.00075
Standard_Linear,6,1,70,0.2,0.01675
Standard_Standard,1,100,1,1.0,0.0
Standard_Standard,2,50,5,0.2,0.0055
Standard_Standard,3,25,15,0.8,0.0015
Standard_Standard,4,12,30,0.4,0.0045
Standard_Standard,5,6,50,1.0,0.0
Standard_Standard,6,3,70,0.2,0.0065
Standard_Standard,7,1,100,0.2,0.00725
Standard_Aggressive,1,100,1,1.0,0.0
Standard_Aggressive,2,20,5,0.0,0.01275
Standard_Aggressive,3,5,15,0.2,0.00875
Standard_Aggressive,4,1,30,0.4,0.01275
Standard_Gradual,1,100,1,1.0,0.0
Standard_Gradual,2,90,5,0.8,0.00075
Standard_Gradual,3,80,15,1.0,0.0
Standard_Gradual,4,70,30,1.0,0.0
Standard_Gradual,5,60,50,0.8,0.00075
