Hybrid_Schedule,Final_Hit_Probability,Final_Regret,Total_Rounds
Moderate_Linear,0.4,0.0145,5
Moderate_Standard,0.2,0.01275,5
Moderate_Aggressive,0.4,0.0045,4
Moderate_Gradual,0.2,0.0355,5
Moderate_TwoStage,0.2,0.01275,4
Aggressive_Linear,0.4,0.0145,4
Aggressive_Standard,0.4,0.01525,4
Aggressive_Aggressive,0.4,0.0105,4
Aggressive_Gradual,0.2,0.02925,4
Aggressive_TwoStage,0.4,0.01525,4
Conservative_Linear,0.4,0.01525,6
Conservative_Standard,0.2,0.006,6
Conservative_Aggressive,0.2,0.01375,4
Conservative_Gradual,0.4,0.02,6
Conservative_TwoStage,0.2,0.016,4
VeryAggressive_Linear,0.4,0.02,4
VeryAggressive_Standard,0.2,0.02,4
VeryAggressive_Aggressive,0.2,0.006,4
VeryAggressive_Gradual,0.2,0.03475,4
VeryAggressive_TwoStage,0.2,0.02,4
Standard_Linear,0.2,0.01675,6
Standard_Standard,0.2,0.00725,7
Standard_Aggressive,0.4,0.01275,4
Standard_Gradual,0.4,0.02,8
Standard_TwoStage,0.0,0.02475,4
